"Cong_ORIGIN","Cong_DESTINATION","COMMUTES"
"0101","0101",167156
"0101","0102",55923
"0101","0103",3588
"0101","0104",1931
"0101","0105",2434
"0101","0106",5233
"0101","0107",6167
"0101","0200",39
"0101","0401",2
"0101","0402",2
"0101","0403",5
"0101","0406",4
"0101","0407",2
"0101","0408",3
"0101","0501",25
"0101","0502",15
"0101","0503",22
"0101","0504",24
"0101","0601",2
"0101","0602",5
"0101","0603",2
"0101","0604",5
"0101","0606",4
"0101","0607",3
"0101","0608",2
"0101","0609",1
"0101","0611",10
"0101","0612",5
"0101","0615",9
"0101","0616",2
"0101","0617",3
"0101","0618",6
"0101","0620",1
"0101","0621",4
"0101","0622",4
"0101","0623",3
"0101","0624",1
"0101","0625",4
"0101","0626",2
"0101","0627",2
"0101","0629",2
"0101","0630",5
"0101","0631",2
"0101","0632",2
"0101","0633",1
"0101","0635",3
"0101","0636",2
"0101","0637",8
"0101","0638",4
"0101","0642",6
"0101","0643",4
"0101","0644",1
"0101","0646",1
"0101","0647",6
"0101","0648",2
"0101","0649",1
"0101","0650",4
"0101","0651",3
"0101","0652",3
"0101","0801",9
"0101","0802",9
"0101","0803",1
"0101","0804",6
"0101","0805",1
"0101","0806",2
"0101","0807",1
"0101","0808",1
"0101","0901",1
"0101","0902",1
"0101","0904",3
"0101","0905",1
"0101","1000",6
"0101","1198",8
"0101","1201",6398
"0101","1202",1921
"0101","1203",41
"0101","1204",71
"0101","1205",63
"0101","1206",14
"0101","1207",9
"0101","1208",10
"0101","1209",22
"0101","1210",68
"0101","1211",36
"0101","1212",7
"0101","1213",23
"0101","1214",46
"0101","1215",14
"0101","1216",15
"0101","1217",12
"0101","1218",28
"0101","1219",12
"0101","1220",8
"0101","1221",20
"0101","1222",10
"0101","1223",9
"0101","1224",2
"0101","1226",2
"0101","1227",1
"0101","1228",4
"0101","1301",94
"0101","1302",997
"0101","1303",415
"0101","1304",343
"0101","1305",522
"0101","1306",410
"0101","1307",237
"0101","1308",247
"0101","1309",115
"0101","1310",108
"0101","1311",223
"0101","1312",133
"0101","1313",156
"0101","1314",118
"0101","1501",17
"0101","1502",7
"0101","1602",10
"0101","1701",1
"0101","1702",1
"0101","1703",1
"0101","1704",2
"0101","1705",10
"0101","1707",9
"0101","1708",2
"0101","1709",3
"0101","1710",5
"0101","1711",2
"0101","1712",6
"0101","1713",2
"0101","1714",1
"0101","1715",1
"0101","1716",1
"0101","1717",2
"0101","1801",1
"0101","1802",1
"0101","1804",1
"0101","1805",7
"0101","1806",3
"0101","1808",11
"0101","1809",5
"0101","1901",3
"0101","1902",15
"0101","1903",4
"0101","1904",26
"0101","2001",9
"0101","2002",9
"0101","2004",4
"0101","2101",5
"0101","2102",18
"0101","2103",6
"0101","2104",2
"0101","2105",10
"0101","2106",8
"0101","2201",593
"0101","2202",262
"0101","2203",347
"0101","2204",37
"0101","2205",217
"0101","2206",84
"0101","2302",4
"0101","2401",5
"0101","2402",3
"0101","2403",1
"0101","2406",1
"0101","2408",6
"0101","2501",2
"0101","2502",1
"0101","2503",2
"0101","2506",2
"0101","2507",2
"0101","2509",1
"0101","2601",2
"0101","2602",1
"0101","2605",4
"0101","2606",4
"0101","2609",1
"0101","2610",2
"0101","2612",2
"0101","2701",1
"0101","2702",1
"0101","2703",4
"0101","2704",4
"0101","2705",1
"0101","2707",1
"0101","2708",6
"0101","2801",74
"0101","2802",151
"0101","2803",605
"0101","2804",4646
"0101","2901",5
"0101","2903",5
"0101","2904",4
"0101","2905",2
"0101","2906",2
"0101","2907",8
"0101","2908",15
"0101","3001",3
"0101","3002",5
"0101","3101",21
"0101","3103",4
"0101","3202",2
"0101","3204",2
"0101","3302",9
"0101","3401",1
"0101","3402",1
"0101","3403",1
"0101","3405",4
"0101","3406",1
"0101","3408",2
"0101","3409",3
"0101","3411",1
"0101","3501",5
"0101","3502",5
"0101","3503",7
"0101","3601",1
"0101","3602",1
"0101","3604",1
"0101","3606",1
"0101","3609",1
"0101","3610",5
"0101","3611",6
"0101","3612",4
"0101","3613",1
"0101","3616",1
"0101","3617",2
"0101","3619",1
"0101","3621",2
"0101","3622",1
"0101","3623",1
"0101","3624",5
"0101","3626",2
"0101","3701",5
"0101","3702",2
"0101","3703",2
"0101","3704",7
"0101","3705",6
"0101","3706",6
"0101","3707",19
"0101","3708",6
"0101","3709",6
"0101","3710",10
"0101","3711",16
"0101","3712",14
"0101","3713",1
"0101","3714",15
"0101","3800",8
"0101","3903",3
"0101","3905",7
"0101","3906",1
"0101","3907",4
"0101","3908",1
"0101","3910",3
"0101","3912",1
"0101","3913",2
"0101","3914",1
"0101","3915",2
"0101","4001",14
"0101","4002",5
"0101","4003",10
"0101","4004",1
"0101","4005",2
"0101","4102",4
"0101","4104",4
"0101","4105",5
"0101","4106",3
"0101","4202",1
"0101","4204",1
"0101","4205",1
"0101","4206",2
"0101","4207",3
"0101","4208",2
"0101","4209",1
"0101","4213",2
"0101","4214",18
"0101","4215",1
"0101","4216",2
"0101","4217",3
"0101","4401",3
"0101","4402",2
"0101","4501",22
"0101","4502",16
"0101","4503",10
"0101","4504",26
"0101","4505",10
"0101","4506",42
"0101","4507",8
"0101","4600",1
"0101","4701",14
"0101","4702",19
"0101","4703",40
"0101","4704",19
"0101","4705",36
"0101","4706",29
"0101","4707",62
"0101","4708",24
"0101","4709",73
"0101","4801",29
"0101","4802",11
"0101","4803",4
"0101","4804",10
"0101","4805",1
"0101","4806",10
"0101","4807",156
"0101","4808",23
"0101","4809",19
"0101","4810",4
"0101","4811",8
"0101","4812",4
"0101","4813",2
"0101","4814",43
"0101","4815",1
"0101","4816",6
"0101","4817",10
"0101","4818",74
"0101","4819",8
"0101","4821",9
"0101","4822",48
"0101","4823",1
"0101","4824",9
"0101","4825",2
"0101","4826",1
"0101","4827",2
"0101","4828",2
"0101","4829",26
