"HomeCounty","AllCommutes","sum(CNS01)","sum(CNS02)","sum(CNS03)","sum(CNS04)","sum(CNS05)","sum(CNS06)","sum(CNS07)","sum(CNS08)","sum(CNS09)","sum(CNS10)","sum(CNS11)","sum(CNS12)","sum(CNS13)","sum(CNS14)","sum(CNS15)","sum(CNS16)","sum(CNS17)","sum(CNS18)","sum(CNS19)","sum(CNS20)"
1001,22855,130,68,309,1145,2865,949,2861,809,303,893,270,1159,170,1103,1830,2510,453,2106,649,2273
1003,82561,594,213,852,5000,7274,3105,12170,2696,803,2654,1934,3987,625,4284,6945,10252,1388,10842,2490,4453
1005,9641,189,105,104,329,2069,276,1340,494,46,237,83,210,42,479,750,1094,64,889,199,642
1007,7743,95,107,104,635,1392,288,974,290,72,234,80,247,52,369,681,862,77,576,165,443
1009,23007,120,87,310,1620,3497,1421,2798,863,261,887,273,1007,252,967,1853,3181,202,1703,635,1070
1011,3811,239,6,47,110,840,78,430,140,26,77,33,74,20,290,245,476,34,244,58,344
1013,8080,132,11,95,330,1839,274,918,296,88,215,74,214,39,456,631,951,87,768,154,508
1015,41872,181,16,301,1265,7958,1579,5228,1380,505,1035,420,1354,208,2964,3887,6049,303,4203,904,2132
1017,14493,164,10,135,568,3344,376,1661,796,306,352,129,397,116,1210,1029,1573,123,1240,336,628
1019,8578,153,6,160,328,1963,291,1090,241,71,214,69,230,50,383,770,1277,31,672,162,417
1021,17158,174,87,345,1457,2651,811,2262,594,186,719,192,615,186,820,1339,1704,153,1408,457,998
1023,4201,205,14,68,340,755,110,530,212,46,85,39,97,18,157,390,522,30,283,96,204
1025,9984,315,51,212,649,1931,276,1379,324,69,321,76,194,28,384,790,1247,55,808,209,666
1027,5971,77,10,98,259,1750,166,594,177,45,143,62,125,34,293,496,801,33,375,121,312
1029,5686,59,1,38,416,1176,215,770,127,72,143,46,152,84,303,531,685,28,423,136,281
1031,17732,294,34,181,555,3355,515,2319,740,145,521,194,670,125,902,1646,2378,149,1682,417,910
1033,21601,89,95,236,1132,4324,834,2837,498,180,722,213,664,100,1125,1840,3036,168,1961,440,1107
1035,4696,181,24,74,241,890,162,578,251,23,115,42,96,9,185,372,550,47,432,101,323
1037,3987,28,49,54,203,835,115,480,137,38,117,39,126,36,281,292,500,61,273,82,241
1039,13466,239,31,518,619,2121,651,1951,514,124,391,139,398,48,711,1146,1717,88,948,281,831
1041,5961,135,4,81,239,1158,331,722,287,47,186,45,141,33,242,484,755,30,400,175,466
1043,34757,334,72,307,2028,6399,1510,4686,1587,340,1033,338,1424,308,1424,2688,4641,216,2949,771,1702
1045,16026,150,42,175,694,2520,560,2189,766,144,421,168,583,141,833,1279,2383,123,1666,363,826
1047,14098,164,29,164,543,2936,337,1687,408,88,298,166,281,101,859,1301,1948,113,1279,407,989
1049,25496,257,12,272,1028,7647,904,3036,1009,227,628,183,617,125,983,1942,2905,123,1941,457,1200
1051,32896,137,94,327,1642,3872,1257,3943,988,380,1267,375,1611,273,1669,2766,4195,1065,2600,919,3516
1053,14031,195,155,167,854,2114,441,1847,520,79,459,127,307,74,578,1035,1545,696,1188,280,1370
1055,38886,106,42,406,1441,7459,1377,4845,1096,399,1078,343,1041,188,2447,3300,6560,306,3667,751,2034
1057,7123,124,99,87,330,1627,239,908,256,66,214,54,131,45,225,657,1000,33,536,130,362
1059,12875,117,62,135,571,4093,417,1464,355,72,392,113,298,70,445,1183,1356,62,897,213,560
1061,9504,215,13,109,438,1568,492,1375,411,69,295,107,347,66,399,631,1365,71,690,208,635
1063,2973,48,4,24,123,571,55,363,158,23,55,21,62,14,175,253,401,108,269,64,182
1065,6252,163,16,51,350,1248,102,725,249,38,172,65,156,32,319,666,877,52,497,100,374
1067,7402,219,21,170,316,1003,297,1002,362,59,200,60,219,34,342,601,1191,48,575,166,517
