"","GEOID","h_county","commuters"
"1",24031704804,1005,1
"2",24031701007,1037,1
"3",24005440600,1043,1
"4",24003702402,1051,1
"5",24031704804,1069,1
"6",24031704804,1073,1
"7",24005440600,1089,1
"8",24003702402,1101,1
"9",24031701205,1101,1
"10",24005440600,1103,1
"11",24033800504,2020,1
"12",24031701205,2110,1
"13",11001010100,4013,6
"14",24031704600,4013,2
"15",11001010100,4019,1
"16",24013507602,4019,1
"17",24031704804,4019,3
"18",24031700313,4021,1
"19",24025301707,4023,1
"20",24033800212,5103,1
"21",24003702402,5119,1
"22",24003702402,5125,1
"23",11001010100,5143,1
"24",24035810800,5143,1
"25",24003701104,5145,1
"26",24027606706,5145,1
"27",11001010100,6001,7
"28",24027606706,6001,7
"29",24043011202,6001,1
"30",24003702402,6007,1
"31",24510260501,6019,1
"32",24003740205,6029,2
"33",24031700313,6029,1
"34",24031701007,6031,1
"35",24003702402,6033,1
"36",11001010100,6037,27
"37",24013507602,6037,4
"38",24017851502,6037,3
"39",24021750701,6037,1
"40",24027605404,6037,5
"41",24031701205,6037,1
"42",24031702503,6037,1
"43",24033800504,6037,2
"44",24033801003,6037,1
"45",24510060400,6037,3
"46",24510120700,6037,2
"47",24510260605,6037,1
"48",11001010100,6041,5
"49",24027605105,6053,2
"50",11001010100,6059,13
"51",24003741000,6059,1
"52",51059470600,6059,5
"53",24003741000,6065,1
"54",24027605105,6065,1
"55",24031704804,6067,3
"56",24031702503,6071,2
"57",11001010100,6073,8
"58",24013507602,6073,1
"59",24027606701,6073,1
"60",24031700313,6073,1
"61",24031704804,6073,11
"62",24035810800,6073,1
"63",24510060400,6073,3
"64",51013101408,6073,1
"65",11001010100,6075,6
"66",24027605105,6077,1
"67",24013513001,6079,1
"68",11001010100,6081,16
"69",24003702402,6081,2
"70",24033800212,6081,1
"71",24027605404,6085,1
"72",24027606706,6085,1
"73",24013507602,6095,2
"74",11001010100,6097,7
"75",24031701205,6099,2
"76",24031701007,6107,3
"77",24027605602,6111,1
"78",24031701205,6111,11
"79",24031704804,6111,1
"80",24005408704,8005,1
"81",24027605105,8013,1
"82",24031700313,8013,1
"83",24031701205,8013,5
"84",24031701205,8014,1
"85",24031701205,8019,1
"86",11001010100,8041,5
"87",24031701205,8041,3
"88",24031701205,8043,1
"89",11001010100,8051,1
"90",24031701205,8059,2
"91",24031701205,8101,2
"92",11001010100,9110,6
"93",24005408704,9110,3
"94",24025301707,9110,2
"95",24031701205,9110,1
"96",24031704804,9110,6
"97",51013101408,9110,2
"98",11001010100,9120,14
"99",51013101408,9120,1
"100",11001010100,9130,6
"101",24031701007,9130,2
"102",24510260501,9130,2
"103",11001010100,9140,9
"104",24031704804,9140,1
"105",24510060400,9140,3
"106",24510260501,9140,2
"107",11001010100,9150,2
"108",24027605105,9150,2
"109",24031704804,9150,1
"110",11001010100,9160,2
"111",11001000904,9170,1
"112",11001010100,9170,11
"113",24031701007,9170,3
"114",24510260501,9170,5
"115",11001010100,9180,7
"116",24003702402,9180,2
"117",24031701205,9180,1
"118",24031704804,9180,1
"119",11001010100,9190,16
"120",24021752206,9190,1
"121",24031702503,9190,2
"122",24510060400,9190,1
"123",11001010100,10001,18
"124",24003701104,10001,1
"125",24003702402,10001,38
"126",24003740205,10001,1
"127",24003740304,10001,15
"128",24003741000,10001,11
"129",24005440600,10001,8
"130",24013507602,10001,5
"131",24013513001,10001,2
"132",24017851502,10001,1
"133",24021750701,10001,1
"134",24021752206,10001,4
"135",24025301707,10001,1
"136",24027605404,10001,5
"137",24027605602,10001,2
"138",24027606706,10001,1
"139",24031700313,10001,2
"140",24031701002,10001,1
"141",24031701007,10001,4
"142",24031701205,10001,6
"143",24031702503,10001,2
"144",24031704600,10001,3
"145",24031704804,10001,7
"146",24033800504,10001,3
"147",24033801003,10001,4
"148",24035810800,10001,16
"149",24510060400,10001,4
"150",24510260501,10001,9
"151",24510260605,10001,9
"152",11001010100,10003,29
"153",24003701104,10003,8
"154",24003702402,10003,29
"155",24003730401,10003,1
"156",24003740205,10003,4
"157",24003740304,10003,4
"158",24003741000,10003,6
"159",24005408704,10003,1
"160",24005421000,10003,1
"161",24005440600,10003,33
"162",24013507602,10003,9
"163",24013513001,10003,3
"164",24017851502,10003,1
"165",24021750701,10003,1
"166",24021752206,10003,8
"167",24025301707,10003,28
"168",24027605105,10003,11
"169",24027605404,10003,8
"170",24027605602,10003,2
"171",24027606701,10003,11
