"","GEOID","h_county","commuters"
"1",6037207711,1007,1
"2",6037267901,1015,2
"3",6083003001,1021,1
"4",6037703003,1037,1
"5",6037267901,1043,2
"6",6037703003,1043,1
"7",6111001510,1049,1
"8",6037267901,1055,1
"9",6037703003,1069,1
"10",6037267901,1079,1
"11",6037703003,1083,2
"12",6037264305,1089,1
"13",6037267901,1089,3
"14",6037703003,1089,1
"15",6037267901,1097,3
"16",6037703003,1101,2
"17",6037703003,1103,2
"18",6037267901,1111,1
"19",6083000400,1117,1
"20",6037267901,1121,2
"21",6037703003,1123,1
"22",6083003001,1123,1
"23",6037267901,1133,1
"24",6037703003,1133,1
"25",6111006600,2020,1
"26",6111008502,2063,1
"27",6037980013,2090,2
"28",6111006600,2090,1
"29",6037980013,2110,1
"30",6037980013,2122,4
"31",6037980013,2130,1
"32",6037650606,4001,1
"33",6037703003,4001,1
"34",6037800324,4001,1
"35",6037800337,4001,1
"36",6079011505,4001,1
"37",6037267901,4003,1
"38",6037620400,4003,1
"39",6037701601,4003,1
"40",6037800504,4003,1
"41",6037207305,4005,1
"42",6037207711,4005,3
"43",6037267700,4005,2
"44",6037311601,4005,2
"45",6037700801,4005,2
"46",6037703003,4005,5
"47",6037800337,4005,1
"48",6037980013,4005,3
"49",6059052513,4005,1
"50",6083003001,4005,2
"51",6037141400,4007,1
"52",6037267901,4009,2
"53",6037224010,4012,1
"54",6037700801,4012,2
"55",6037980013,4012,1
"56",6037108204,4013,1
"57",6037120300,4013,4
"58",6037134422,4013,1
"59",6037141400,4013,11
"60",6037143200,4013,2
"61",6037191810,4013,1
"62",6037207305,4013,13
"63",6037207711,4013,19
"64",6037214000,4013,15
"65",6037216302,4013,6
"66",6037224010,4013,3
"67",6037224020,4013,2
"68",6037264305,4013,1
"69",6037265204,4013,13
"70",6037265301,4013,5
"71",6037267300,4013,1
"72",6037267700,4013,3
"73",6037267901,4013,81
"74",6037269000,4013,2
"75",6037275313,4013,2
"76",6037311601,4013,35
"77",6037311602,4013,8
"78",6037481606,4013,3
"79",6037620400,4013,11
"80",6037620802,4013,4
"81",6037650606,4013,9
"82",6037651101,4013,18
"83",6037700801,4013,29
"84",6037700802,4013,2
"85",6037701000,4013,4
"86",6037701501,4013,1
"87",6037701502,4013,5
"88",6037701701,4013,4
"89",6037701802,4013,1
"90",6037702300,4013,8
"91",6037702900,4013,9
"92",6037703003,4013,115
"93",6037800324,4013,1
"94",6037800337,4013,12
"95",6037920328,4013,3
"96",6037920330,4013,1
"97",6037980013,4013,23
"98",6059062647,4013,4
"99",6083000302,4013,1
"100",6083000400,4013,3
"101",6083002211,4013,2
"102",6083003001,4013,9
"103",6111005907,4013,3
"104",6111007000,4013,3
"105",6111008502,4013,6
"106",6037207711,4015,5
"107",6037267700,4015,1
"108",6037311601,4015,4
"109",6037311602,4015,2
"110",6037620400,4015,1
"111",6037700801,4015,2
"112",6037702300,4015,2
"113",6037703003,4015,9
"114",6037800324,4015,3
"115",6037800337,4015,1
"116",6037980013,4015,3
"117",6083003001,4015,1
"118",6037207711,4017,2
"119",6037224010,4017,1
"120",6037311601,4017,2
"121",6037650606,4017,2
"122",6037700801,4017,2
"123",6037701802,4017,1
"124",6037703003,4017,1
"125",6037800324,4017,1
"126",6037980013,4017,1
"127",6083000302,4017,1
"128",6083003001,4017,2
"129",6037120300,4019,3
"130",6037141400,4019,1
"131",6037207305,4019,2
"132",6037207711,4019,5
"133",6037214000,4019,2
"134",6037216302,4019,1
"135",6037265204,4019,7
"136",6037265301,4019,3
"137",6037267700,4019,3
"138",6037267901,4019,22
"139",6037311601,4019,8
"140",6037463900,4019,1
"141",6037464000,4019,2
"142",6037651101,4019,6
"143",6037700801,4019,5
"144",6037700802,4019,3
"145",6037701501,4019,1
"146",6037701602,4019,3
"147",6037702900,4019,3
"148",6037703003,4019,45
"149",6037800337,4019,6
"150",6037800504,4019,2
"151",6037980013,4019,24
"152",6083003001,4019,4
"153",6037141400,4021,1
"154",6037267901,4021,6
"155",6037464000,4021,1
"156",6037651101,4021,5
"157",6037700801,4021,4
"158",6037800337,4021,1
"159",6037267901,4023,2
"160",6037800337,4023,1
"161",6037207711,4025,3
"162",6037224010,4025,1
"163",6037267700,4025,1
"164",6037311601,4025,7
"165",6037311602,4025,2
"166",6037620400,4025,1
"167",6037650606,4025,2
"168",6037700801,4025,1
"169",6037702900,4025,2
"170",6037703003,4025,6
"171",6037800324,4025,2
"172",6037800337,4025,2
"173",6037980013,4025,7
"174",6083003001,4025,2
"175",6037207711,4027,2
"176",6037267700,4027,1
"177",6037311601,4027,2
"178",6037311602,4027,1
"179",6037650606,4027,1
"180",6037700801,4027,1
"181",6037702300,4027,1
