"WorkTract","AllCommutes","sum(CNS01)","sum(CNS02)","sum(CNS03)","sum(CNS04)","sum(CNS05)","sum(CNS06)","sum(CNS07)","sum(CNS08)","sum(CNS09)","sum(CNS10)","sum(CNS11)","sum(CNS12)","sum(CNS13)","sum(CNS14)","sum(CNS15)","sum(CNS16)","sum(CNS17)","sum(CNS18)","sum(CNS19)","sum(CNS20)"
1001020100,227,1,0,0,34,0,0,10,2,0,1,7,0,0,0,157,0,0,8,7,0
1001020200,1530,0,0,39,28,22,9,49,241,0,44,13,39,0,1,354,20,0,50,19,602
1001020300,730,11,0,0,9,0,3,195,0,2,17,47,42,0,13,0,324,14,23,13,17
1001020400,584,0,0,0,16,21,35,96,6,22,39,16,19,0,3,3,93,0,193,22,0
1001020501,1846,8,0,0,13,0,7,739,0,41,59,18,42,0,12,83,66,27,692,37,2
1001020502,1160,6,0,5,31,0,0,636,0,0,61,29,97,0,6,0,147,0,119,23,0
1001020503,831,5,0,6,44,0,7,64,0,0,20,20,44,0,22,0,384,4,182,29,0
1001020600,1122,11,0,0,65,865,36,42,30,4,10,0,3,0,27,0,0,0,20,9,0
1001020700,1966,0,17,0,34,488,119,302,0,21,20,10,9,1,46,261,236,159,195,44,4
1001020801,205,7,0,2,26,37,15,30,6,0,1,0,0,0,26,40,0,11,0,4,0
1001020803,92,2,0,0,7,0,19,8,5,0,0,1,8,0,0,0,6,0,1,2,33
1001020804,505,0,0,0,90,5,17,41,10,4,20,0,5,0,2,253,1,11,5,22,19
1001020805,268,0,0,0,81,8,0,8,10,0,1,0,0,68,19,0,69,1,0,3,0
1001020901,298,0,15,9,30,40,1,10,0,0,0,1,0,0,0,184,7,1,0,0,0
1001020902,45,17,0,9,3,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1001021000,236,0,49,54,21,4,2,16,3,0,0,0,0,0,6,65,1,0,11,2,2
1001021100,196,56,0,8,34,29,0,15,0,0,0,3,0,1,1,0,24,0,1,7,17
1003010100,158,0,0,0,26,52,1,43,6,0,0,0,2,0,22,0,0,0,3,3,0
1003010200,723,3,0,0,27,107,7,65,47,0,0,0,0,0,0,385,28,0,19,35,0
1003010300,1455,1,0,8,39,314,13,313,50,0,11,3,26,0,35,426,179,3,12,11,11
1003010400,1285,3,0,0,447,138,177,172,112,4,0,10,9,0,16,110,39,0,35,5,8
1003010500,3034,0,0,69,112,69,0,304,15,3,93,12,135,0,8,198,503,3,312,37,1161
1003010600,1586,0,0,0,89,993,53,73,30,0,0,6,11,0,12,42,9,0,16,2,250
1003010704,965,0,0,0,14,12,63,120,0,16,23,24,20,0,49,30,121,6,374,93,0
1003010706,966,0,0,0,69,27,24,128,2,0,43,4,69,8,90,0,126,33,264,33,46
1003010707,1571,0,2,9,131,11,21,405,18,14,43,13,78,0,8,102,211,34,439,32,0
1003010708,4000,0,2,0,552,94,225,1428,19,1,98,26,76,8,31,199,278,62,846,55,0
1003010709,1959,51,0,6,165,15,80,489,28,19,39,25,76,0,220,129,202,80,81,74,180
1003010710,4368,2,0,24,243,22,218,977,29,0,109,83,170,7,130,380,612,115,1064,183,0
1003010711,327,0,0,0,24,0,3,4,0,0,2,6,58,2,49,10,114,0,52,3,0
1003010800,4025,0,0,74,217,40,155,799,32,55,124,96,151,17,215,525,661,18,355,197,294
1003010903,1686,242,0,0,62,11,80,155,338,2,16,6,29,63,78,249,152,0,102,16,85
1003010904,1234,156,0,9,132,124,122,108,135,0,9,3,17,0,97,204,75,0,41,2,0
1003010906,593,8,0,0,71,1,0,23,0,23,0,8,0,0,19,57,271,0,0,15,97
1003010907,435,0,0,6,42,16,6,22,0,0,9,0,7,0,12,288,0,0,17,10,0
1003010908,2380,0,0,0,159,200,172,547,89,22,101,20,93,0,45,195,210,2,278,93,154
1003011000,1073,22,0,184,120,5,46,124,34,0,6,1,49,6,226,120,12,8,55,24,31
1003011102,727,4,8,0,45,3,4,30,33,0,0,1,28,0,73,411,13,2,64,8,0
1003011103,249,0,0,0,72,7,3,18,4,0,3,2,16,6,10,0,24,1,0,83,0
1003011104,1542,0,13,0,51,20,32,528,19,6,40,7,120,3,69,133,252,3,166,80,0
1003011201,2973,5,0,0,27,49,14,416,3,52,221,49,183,16,30,169,511,43,693,86,406
1003011202,2875,0,0,0,80,67,7,357,0,6,85,61,117,7,53,50,1527,2,349,107,0
1003011300,1372,4,14,0,49,256,91,16,2,2,4,39,49,0,23,0,6,0,792,25,0
1003011409,351,31,0,40,97,0,3,8,13,0,0,4,3,0,14,107,17,0,4,10,0
