"","FIPS","county","gdp_2024"
"1"," 01000","Alabama",255629447
"2"," 01001","Autauga, AL",1758017
"3"," 01003","Baldwin, AL",10208956
"4"," 01005","Barbour, AL",747750
"5"," 01007","Bibb, AL",476273
"6"," 01009","Blount, AL",1174999
"7"," 01011","Bullock, AL",292695
"8"," 01013","Butler, AL",702420
"9"," 01015","Calhoun, AL",4965547
"10"," 01017","Chambers, AL",990039
"11"," 01019","Cherokee, AL",632989
"12"," 01021","Chilton, AL",1261402
"13"," 01023","Choctaw, AL",553184
"14"," 01025","Clarke, AL",833608
"15"," 01027","Clay, AL",427679
"16"," 01029","Cleburne, AL",372482
"17"," 01031","Coffee, AL",1819734
"18"," 01033","Colbert, AL",2847285
"19"," 01035","Conecuh, AL",397455
"20"," 01037","Coosa, AL",189287
"21"," 01039","Covington, AL",1283169
"22"," 01041","Crenshaw, AL",500149
"23"," 01043","Cullman, AL",3288755
"24"," 01045","Dale, AL",3114449
"25"," 01047","Dallas, AL",1318245
"26"," 01049","DeKalb, AL",2384155
"27"," 01051","Elmore, AL",2430776
"28"," 01053","Escambia, AL",1299130
"29"," 01055","Etowah, AL",3120496
"30"," 01057","Fayette, AL",368269
"31"," 01059","Franklin, AL",1043953
"32"," 01061","Geneva, AL",614453
"33"," 01063","Greene, AL",215850
"34"," 01065","Hale, AL",283640
"35"," 01067","Henry, AL",516959
"36"," 01069","Houston, AL",6085531
"37"," 01071","Jackson, AL",1637868
"38"," 01073","Jefferson, AL",51158763
"39"," 01075","Lamar, AL",338807
"40"," 01077","Lauderdale, AL",2988972
"41"," 01079","Lawrence, AL",645253
"42"," 01081","Lee, AL",7169778
"43"," 01083","Limestone, AL",5497797
"44"," 01085","Lowndes, AL",440550
"45"," 01087","Macon, AL",607800
"46"," 01089","Madison, AL",32236676
"47"," 01091","Marengo, AL",846917
"48"," 01093","Marion, AL",976529
"49"," 01095","Marshall, AL",4082729
"50"," 01097","Mobile, AL",24306390
"51"," 01099","Monroe, AL",630618
"52"," 01101","Montgomery, AL",15685249
"53"," 01103","Morgan, AL",6619015
"54"," 01105","Perry, AL",199443
"55"," 01107","Pickens, AL",431033
"56"," 01109","Pike, AL",1663527
"57"," 01111","Randolph, AL",525885
"58"," 01113","Russell, AL",1760468
"59"," 01115","St. Clair, AL",2402348
"60"," 01117","Shelby, AL",13301277
"61"," 01119","Sumter, AL",341510
"62"," 01121","Talladega, AL",3694135
"63"," 01123","Tallapoosa, AL",1514769
"64"," 01125","Tuscaloosa, AL",11362541
"65"," 01127","Walker, AL",1963695
"66"," 01129","Washington, AL",1055630
"67"," 01131","Wilcox, AL",386907
"68"," 01133","Winston, AL",811115
"69"," 02000","Alaska",55945726
"70"," 02013","Aleutians East Borough, AK",225464
"71"," 02016","Aleutians West Census Area, AK",978184
"72"," 02020","Anchorage Municipality, AK",25051159
"73"," 02050","Bethel Census Area, AK",674969
"74"," 02060","Bristol Bay Borough, AK",141950
"75"," 02063","Chugach Census Area, AK*",1185552
"76"," 02066","Copper River Census Area, AK*",139800
"77"," 02068","Denali Borough, AK",305254
"78"," 02070","Dillingham Census Area, AK",255988
"79"," 02090","Fairbanks North Star Borough, AK",5975015
"80"," 02100","Haines Borough, AK",116106
"81"," 02105","Hoonah-Angoon Census Area, AK*",110601
"82"," 02110","Juneau City and Borough, AK",2406431
"83"," 02122","Kenai Peninsula Borough, AK",2748305
"84"," 02130","Ketchikan Gateway Borough, AK*",961119
"85"," 02150","Kodiak Island Borough, AK",782770
"86"," 02158","Kusilvak Census Area, AK*",144569
"87"," 02164","Lake and Peninsula Borough, AK",111360
"88"," 02170","Matanuska-Susitna Borough, AK",3468517
"89"," 02180","Nome Census Area, AK",476390
"90"," 02185","North Slope Borough, AK",7292252
"91"," 02188","Northwest Arctic Borough, AK",521404
"92"," 02195","Petersburg Borough, AK*",172412
"93"," 02198","Prince of Wales-Hyder Census Area, AK*",226956
"94"," 02201","Prince of Wales-Outer Ketchikan Census Area, AK*",NA
"95"," 02220","Sitka City and Borough, AK",573445
"96"," 02230","Skagway Municipality, AK*",98234
"97"," 02232","Skagway-Hoonah-Angoon Census Area, AK*",NA
"98"," 02240","Southeast Fairbanks Census Area, AK",724588
"99"," 02261","Valdez-Cordova Census Area, AK*",NA
"100"," 02275","Wrangell City and Borough, AK*",94733
"101"," 02280","Wrangell-Petersburg Census Area, AK*",NA
"102"," 02282","Yakutat City and Borough, AK*",34160
"103"," 02290","Yukon-Koyukuk Census Area, AK",290769
"104"," 04000","Arizona",446968228
"105"," 04001","Apache, AZ",2281917
"106"," 04003","Cochise, AZ",5204349
"107"," 04005","Coconino, AZ",8294983
"108"," 04007","Gila, AZ",1821016
"109"," 04009","Graham, AZ",1410668
"110"," 04011","Greenlee, AZ",1622092
"111"," 04012","La Paz, AZ",662932
"112"," 04013","Maricopa, AZ",329775922
"113"," 04015","Mohave, AZ",7229383
"114"," 04017","Navajo, AZ",3130447
"115"," 04019","Pima, AZ",52752176
"116"," 04021","Pinal, AZ",12744920
"117"," 04023","Santa Cruz, AZ",2130410
"118"," 04025","Yavapai, AZ",9153804
"119"," 04027","Yuma, AZ",8887417
"120"," 05000","Arkansas",147389907
"121"," 05001","Arkansas, AR",1029130
"122"," 05003","Ashley, AR",915701
"123"," 05005","Baxter, AR",1748671
"124"," 05007","Benton, AR",21170960
"125"," 05009","Boone, AR",1537501
"126"," 05011","Bradley, AR",349899
"127"," 05013","Calhoun, AR",346369
"128"," 05015","Carroll, AR",1013672
"129"," 05017","Chicot, AR",275709
"130"," 05019","Clark, AR",810962
"131"," 05021","Clay, AR",359249
"132"," 05023","Cleburne, AR",649938
"133"," 05025","Cleveland, AR",182162
"134"," 05027","Columbia, AR",1049224
"135"," 05029","Conway, AR",770337
"136"," 05031","Craighead, AR",5563502
"137"," 05033","Crawford, AR",1744875
"138"," 05035","Crittenden, AR",1761898
"139"," 05037","Cross, AR",457366
"140"," 05039","Dallas, AR",247637
"141"," 05041","Desha, AR",550270
"142"," 05043","Drew, AR",625794
"143"," 05045","Faulkner, AR",4594326
"144"," 05047","Franklin, AR",531817
"145"," 05049","Fulton, AR",181126
"146"," 05051","Garland, AR",3663311
"147"," 05053","Grant, AR",479900
"148"," 05055","Greene, AR",1603557
"149"," 05057","Hempstead, AR",1006115
"150"," 05059","Hot Spring, AR",1225768
"151"," 05061","Howard, AR",692534
"152"," 05063","Independence, AR",2059585
"153"," 05065","Izard, AR",294187
"154"," 05067","Jackson, AR",841501
"155"," 05069","Jefferson, AR",2665308
"156"," 05071","Johnson, AR",731296
"157"," 05073","Lafayette, AR",171937
"158"," 05075","Lawrence, AR",420207
"159"," 05077","Lee, AR",185375
"160"," 05079","Lincoln, AR",286960
"161"," 05081","Little River, AR",543664
"162"," 05083","Logan, AR",566645
"163"," 05085","Lonoke, AR",1574493
"164"," 05087","Madison, AR",555734
"165"," 05089","Marion, AR",627230
"166"," 05091","Miller, AR",1333712
"167"," 05093","Mississippi, AR",3736124
"168"," 05095","Monroe, AR",197245
"169"," 05097","Montgomery, AR",159614
"170"," 05099","Nevada, AR",234242
"171"," 05101","Newton, AR",105055
"172"," 05103","Ouachita, AR",669901
"173"," 05105","Perry, AR",207580
"174"," 05107","Phillips, AR",502277
"175"," 05109","Pike, AR",299551
"176"," 05111","Poinsett, AR",667009
"177"," 05113","Polk, AR",654696
"178"," 05115","Pope, AR",3183342
"179"," 05117","Prairie, AR",198964
"180"," 05119","Pulaski, AR",32536180
"181"," 05121","Randolph, AR",564605
"182"," 05123","St. Francis, AR",714348
"183"," 05125","Saline, AR",3091885
"184"," 05127","Scott, AR",395480
"185"," 05129","Searcy, AR",192224
"186"," 05131","Sebastian, AR",7356931
"187"," 05133","Sevier, AR",596229
"188"," 05135","Sharp, AR",447222
"189"," 05137","Stone, AR",282752
"190"," 05139","Union, AR",2595449
"191"," 05141","Van Buren, AR",363774
"192"," 05143","Washington, AR",14125098
"193"," 05145","White, AR",2537670
"194"," 05147","Woodruff, AR",269009
"195"," 05149","Yell, AR",701302
"196"," 06000","California",3306928555
"197"," 06001","Alameda, CA",149073515
"198"," 06003","Alpine, CA",115535
"199"," 06005","Amador, CA",1649007
"200"," 06007","Butte, CA",9976475
"201"," 06009","Calaveras, CA",1598733
"202"," 06011","Colusa, CA",1554879
"203"," 06013","Contra Costa, CA",76853439
"204"," 06015","Del Norte, CA",847242
"205"," 06017","El Dorado, CA",9003663
"206"," 06019","Fresno, CA",49888249
"207"," 06021","Glenn, CA",1117692
"208"," 06023","Humboldt, CA",5855113
"209"," 06025","Imperial, CA",10014382
"210"," 06027","Inyo, CA",1214756
"211"," 06029","Kern, CA",49752853
"212"," 06031","Kings, CA",7210907
"213"," 06033","Lake, CA",2074974
"214"," 06035","Lassen, CA",1150292
"215"," 06037","Los Angeles, CA",810842127
"216"," 06039","Madera, CA",6799065
"217"," 06041","Marin, CA",29894901
"218"," 06043","Mariposa, CA",800084
"219"," 06045","Mendocino, CA",3589922
"220"," 06047","Merced, CA",10266145
"221"," 06049","Modoc, CA",518676
"222"," 06051","Mono, CA",1191570
"223"," 06053","Monterey, CA",29711750
"224"," 06055","Napa, CA",11313745
"225"," 06057","Nevada, CA",4810425
"226"," 06059","Orange, CA",277517685
"227"," 06061","Placer, CA",26794130
"228"," 06063","Plumas, CA",1136564
"229"," 06065","Riverside, CA",102469702
"230"," 06067","Sacramento, CA",106654911
"231"," 06069","San Benito, CA",2515745
"232"," 06071","San Bernardino, CA",105151197
"233"," 06073","San Diego, CA",266924506
"234"," 06075","San Francisco, CA",233948380
"235"," 06077","San Joaquin, CA",35064542
"236"," 06079","San Luis Obispo, CA",19031961
"237"," 06081","San Mateo, CA",196767358
"238"," 06083","Santa Barbara, CA",33505043
"239"," 06085","Santa Clara, CA",399159581
"240"," 06087","Santa Cruz, CA",16712516
"241"," 06089","Shasta, CA",9184523
"242"," 06091","Sierra, CA",98747
"243"," 06093","Siskiyou, CA",1766695
"244"," 06095","Solano, CA",29914870
"245"," 06097","Sonoma, CA",30869179
"246"," 06099","Stanislaus, CA",24813761
"247"," 06101","Sutter, CA",4025128
"248"," 06103","Tehama, CA",2175398
"249"," 06105","Trinity, CA",456212
"250"," 06107","Tulare, CA",19484144
"251"," 06109","Tuolumne, CA",2569679
"252"," 06111","Ventura, CA",55123601
"253"," 06113","Yolo, CA",15908346
"254"," 06115","Yuba, CA",3520158
"255"," 08000","Colorado",448838490
"256"," 08001","Adams, CO*",33004761
"257"," 08003","Alamosa, CO",698903
"258"," 08005","Arapahoe, CO",54462475
"259"," 08007","Archuleta, CO",586428
"260"," 08009","Baca, CO",109961
"261"," 08011","Bent, CO",133131
"262"," 08013","Boulder, CO*",33422982
"263"," 08014","Broomfield, CO*",10004266
"264"," 08015","Chaffee, CO",990516
"265"," 08017","Cheyenne, CO",291522
"266"," 08019","Clear Creek, CO",478465
"267"," 08021","Conejos, CO",188534
"268"," 08023","Costilla, CO",95973
"269"," 08025","Crowley, CO",135167
"270"," 08027","Custer, CO",171739
"271"," 08029","Delta, CO",924849
"272"," 08031","Denver, CO",104064585
"273"," 08033","Dolores, CO",88174
"274"," 08035","Douglas, CO",25204322
"275"," 08037","Eagle, CO",5267447
"276"," 08039","Elbert, CO",809141
"277"," 08041","El Paso, CO",43989388
"278"," 08043","Fremont, CO",1588785
"279"," 08045","Garfield, CO",3831291
"280"," 08047","Gilpin, CO",757843
"281"," 08049","Grand, CO",1218516
"282"," 08051","Gunnison, CO",1153789
