"Cong_ORIGIN","Cong_DESTINATION","COMMUTES"
101,101,233694
101,102,8620
101,103,2901
101,104,1651
101,105,3370
101,106,6232
101,107,9743
101,401,2
101,402,4
101,404,5
101,405,7
101,406,3
101,407,3
101,501,38
101,502,11
101,503,11
101,504,21
101,601,3
101,602,4
101,603,1
101,604,3
101,606,2
101,607,2
101,609,3
101,610,1
101,611,4
101,612,9
101,614,1
101,615,4
101,616,2
101,617,3
101,618,2
101,619,4
101,620,1
101,622,7
101,623,3
101,624,6
101,625,1
101,626,8
101,627,2
101,628,1
101,629,2
101,630,3
101,631,11
101,632,1
101,633,1
101,635,3
101,637,9
101,638,2
101,639,1
101,640,6
101,641,3
101,642,1
101,643,2
101,644,2
101,645,1
101,646,4
101,647,11
101,648,2
101,649,5
101,650,2
101,651,23
101,652,1
101,801,2
101,803,1
101,804,2
101,805,1
101,806,1
101,807,4
101,808,5
101,902,4
101,903,5
101,904,1
101,1000,2
101,1198,2
101,1201,8887
101,1202,622
101,1203,37
101,1204,100
101,1205,159
101,1206,19
101,1207,42
101,1208,45
101,1209,23
101,1210,92
101,1211,50
101,1212,14
101,1213,25
101,1214,97
101,1215,57
101,1216,12
101,1217,14
101,1218,34
101,1219,17
101,1221,7
101,1222,4
101,1223,3
101,1224,1
101,1225,5
101,1226,18
101,1227,2
101,1228,11
101,1301,51
101,1302,95
101,1303,77
101,1304,54
101,1305,217
101,1306,87
101,1307,85
101,1308,41
101,1309,29
101,1310,20
101,1311,72
101,1312,91
101,1313,69
101,1314,26
101,1501,11
101,1502,7
101,1601,6
101,1602,7
101,1701,3
101,1702,1
101,1704,7
101,1705,21
101,1706,3
101,1707,8
101,1712,15
101,1713,5
101,1714,1
101,1715,1
101,1716,3
101,1717,2
101,1802,2
101,1804,10
101,1805,2
101,1806,2
101,1807,1
101,1808,15
101,1809,3
101,1901,2
101,1902,1
101,1903,2
101,1904,11
101,2001,5
101,2002,3
101,2003,2
101,2004,1
101,2101,26
101,2102,14
101,2103,6
101,2104,4
101,2105,10
101,2106,1
101,2201,836
101,2202,385
101,2203,222
101,2204,30
101,2205,92
101,2206,482
101,2301,5
101,2302,5
101,2401,4
101,2402,2
101,2403,11
101,2404,3
101,2405,2
101,2406,2
101,2408,1
101,2502,3
101,2503,2
101,2504,3
101,2505,1
101,2506,4
101,2507,3
101,2509,2
101,2701,8
101,2703,1
101,2704,2
101,2705,1
101,2706,6
101,2707,1
101,2708,1
101,2901,10
101,2902,3
101,2903,5
101,2904,3
101,2905,5
101,2906,4
101,2907,33
101,2908,27
101,3001,1
101,3002,1
101,3101,5
101,3102,3
101,3103,2
101,3201,2
101,3202,3
101,3203,7
101,3301,1
101,3302,7
101,3401,1
101,3402,2
101,3403,1
101,3404,4
101,3405,4
101,3407,1
101,3408,1
101,3410,14
101,3412,4
101,3501,7
101,3502,2
101,3503,1
101,3601,7
101,3603,1
101,3604,2
101,3605,1
101,3606,2
101,3609,1
101,3610,10
101,3611,1
101,3612,7
101,3614,1
101,3617,1
101,3618,4
101,3619,2
101,3621,4
101,3622,1
101,3623,6
101,3624,2
101,3626,3
101,3701,1
101,3702,4
101,3703,5
101,3705,3
101,3706,13
101,3707,3
101,3708,5
101,3709,3
101,3710,3
101,3711,45
101,3712,2
101,3713,2
101,3714,24
101,3800,4
101,3901,3
101,3903,3
101,3904,2
101,3905,4
101,3907,2
101,3908,1
101,3910,4
101,3911,1
101,3913,1
101,3915,3
101,4001,8
101,4002,5
101,4003,9
101,4004,1
101,4005,1
101,4101,4
101,4102,4
101,4103,4
101,4104,1
101,4105,10
101,4106,2
101,4201,2
101,4202,1
101,4204,1
101,4205,2
101,4207,2
101,4209,2
101,4210,2
101,4213,2
101,4214,1
101,4215,2
101,4217,4
101,4401,2
101,4501,9
101,4502,15
101,4503,4
101,4504,12
101,4505,1
101,4506,42
101,4507,6
101,4600,3
101,4701,15
101,4702,24
101,4703,121
101,4704,30
101,4705,98
101,4706,35
101,4707,161
101,4708,44
101,4709,101
101,4801,48
101,4802,24
101,4803,13
101,4804,20
101,4805,3
101,4806,2
101,4807,83
101,4808,19
101,4809,29
101,4810,4
101,4811,5
101,4812,12
101,4813,6
101,4814,98
101,4816,1
101,4817,11
101,4818,136
101,4819,8
101,4821,3
101,4822,83
101,4823,7
101,4824,32
101,4825,5
101,4826,2
101,4827,4
101,4828,5
101,4829,69
101,4830,14
101,4831,2
101,4832,22
101,4833,1
101,4834,3
101,4835,3
101,4836,99
101,4837,26
101,4838,104
101,4901,3
101,4902,11
101,4903,3
101,4904,6
101,5101,6
101,5102,9
101,5103,5
101,5104,2
101,5107,1
101,5108,5
101,5109,6
101,5110,2
101,5301,1
101,5303,2
101,5305,2
101,5306,16
101,5307,1
101,5308,9
101,5310,1
101,5401,1
101,5402,1
101,5501,7
101,5502,2
101,5503,4
101,5505,6
101,5506,3
101,5507,3
101,5508,9
101,5600,7
102,101,7084
102,102,191475
102,103,13551
102,104,3121
102,105,4296
102,106,8985
102,107,32485
102,401,4
102,402,2
102,403,5
102,404,4
102,405,2
102,409,3
102,501,41
102,502,29
102,503,11
102,504,21
102,601,4
102,602,1
102,603,4
102,604,3
102,605,1
102,606,1
102,607,1
102,608,3
102,610,2
102,611,2
102,612,1
102,613,6
102,614,4
102,615,3
102,616,7
102,617,3
102,618,11
102,619,3
102,621,2
102,622,6
102,623,2
102,624,2
102,625,2
102,626,11
102,629,1
102,630,2
102,631,5
102,632,2
102,633,1
102,634,2
102,635,6
102,636,7
102,637,3
102,638,1
102,639,2
102,640,1
102,641,1
102,642,1
102,644,1
102,645,1
102,646,4
102,647,1
102,648,3
102,649,1
102,650,6
102,651,3
102,652,2
102,801,4
102,802,8
102,803,4
102,804,5
102,805,32
102,806,3
102,807,1
102,808,5
102,902,2
102,903,2
102,904,1
102,905,1
102,1000,13
102,1198,20
102,1201,2109
102,1202,2891
102,1203,66
