"org_name","lat","lon","FIPS","IDC_econ_loss"
"EMORY UNIVERSITY",33.791247,-84.3249,13089,239023993.592132
"MAPHABIT, INC.",33.787792,-84.28825,13089,1034082.15557543
"VIRTUALLY BETTER, INC.",33.818284,-84.26711,13089,94114.2330310384
"MOONLIGHT THERAPEUTICS, INC.",33.876672,-84.261125,13089,23618.6934729851
"AMERICAN COLLEGE OF RHEUMATOLOGY",33.84816,-84.347074,13089,0
"GENETAG TECHNOLOGY, INC.",33.857112,-84.256858,13089,0
"ORIDIVUS LLC",33.778237,-84.284422,13089,0
"UNIVERSITY OF PITTSBURGH AT PITTSBURGH",40.440909,-79.959125,42003,292896484.160693
"CARNEGIE-MELLON UNIVERSITY",40.442959,-79.941084,42003,8984511.03602051
"MAGEE-WOMEN'S RES INST AND FOUNDATION",40.437078,-79.96154,42003,1299686.04921063
"DUQUESNE UNIVERSITY",40.437818,-79.993649,42003,462815.834351041
"SPECTRAGENETICS",40.4299,-79.969825,42003,359163.078843624
"NURELM E-BUSINESS SOFTWARE",40.459723,-79.928112,42003,348270.010474981
"CHEMIA BIOSCIENCES, INC.",40.421602,-79.921022,42003,231510.080728576
"BEHAIVIOR, LLC",40.446287,-79.947899,42003,229718.001894025
"ACCEL DIAGNOSTICS, LLC",40.458672,-79.93185,42003,216534.511852437
"RENERVA, LLC",40.433877,-79.888737,42003,201060.522882548
"MAGNIFY BIOSCIENCES INC.",40.592514,-80.104523,42003,198849.308433516
"RESILIENT LIFESCIENCE, INC.",40.451011,-80.005192,42003,160682.667579277
"RESPAIR, INC.",40.459464,-79.917932,42003,120275.777586989
"ALLEGHENY-SINGER RESEARCH INSTITUTE",40.457062,-80.003694,42003,97818.9515810008
"EQUA HEALTH, INC.",40.451011,-80.005192,42003,78573.2898947512
"VETERANS HEALTH FOUNDATION",40.445977,-79.962428,42003,40660.6122124938
"NEURONASAL INC",40.595927,-80.081318,42003,7719.61300186001
"QRONO, INC",40.444551,-79.948896,42003,2108.68946831194
"COGNITION THERAPEUTICS, INC.",40.4299,-79.969825,42003,0
"CONSEGNA PHARMA, INC.",40.4299,-79.969825,42003,0
"CYTOAGENTS, INC.",40.429124,-79.969542,42003,0
"DUO ONCOLOGY INC",40.440683,-79.956021,42003,0
"FOX LEARNING SYSTEMS, INC.",40.425951,-80.048689,42003,0
"MINDTRACE TECHNOLOGIES, INC.",40.442422,-80.001087,42003,0
"STEELWORKER CHARITABLE/EDUCATIONAL ORG",40.448765,-79.991418,42003,0
"VANISH THERAPEUTICS INC.",40.664788,-80.088989,42003,0
"VEST INC.",40.48558,-79.886515,42003,0
"BAYLOR COLLEGE OF MEDICINE",29.70926,-95.400851,48201,198649001.660416
"UNIVERSITY OF TX MD ANDERSON CAN CTR",29.706319,-95.397195,48201,138488437.631315
"UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON",29.703025,-95.403303,48201,96130218.6594677
"METHODIST HOSPITAL RESEARCH INSTITUTE",29.707454,-95.399168,48201,31942997.3584822
"UNIVERSITY OF HOUSTON",29.718091,-95.336483,48201,22772247.8093491
"RICE UNIVERSITY",29.717236,-95.402761,48201,13190271.8032042
"TEXAS SOUTHERN UNIVERSITY",29.724646,-95.362731,48201,2382394.79819763
"TEXAS HEART INSTITUTE",29.706349,-95.399198,48201,1031561.80885376
"7 HILLS PHARMA, LLC",29.707269,-95.408671,48201,894065.277217392
"ALLEVIANT MEDICAL, INC.",29.705032,-95.407546,48201,600510.02799473
"ENSYSCE BIOSCIENCES, INC.",29.743824,-95.46889,48201,510908.552177205
"PUPIL BIO, INC.",29.707325,-95.421428,48201,134967.672737813
"FANNIN PARTNERS, LLC",29.74013,-95.442729,48201,86924.5198735178
"HYDROGENE THERAPEUTICS INC",29.771183,-95.494709,48201,78194.7581765481
"INFORMAI, INC.",30.044885,-95.153086,48201,57837.4763320158
"IMAGEN BIOWORKS INC.",29.704957,-95.426551,48201,31030.8293649539
"ASIAN AMERICAN HEALTH COALITION/HOUSTON",29.715091,-95.553787,48201,0
"AVIARA PHARMACEUTICALS, INC.",29.703025,-95.403303,48201,0
"BIOPROVAR CORPORATION",29.658218,-95.519969,48201,0
"MARCH BIOSCIENCES INC",29.703201,-95.383171,48201,0
"VATHES INC.",29.736588,-95.391612,48201,0
