"FIPS","IDC_econ_loss_natl","term_econ_loss_natl"
"01001",383224.630501979,125328.510644788
"01003",962101.75607149,122959.274822901
"01005",98139.6408726481,29609.5975618823
"01007",213375.39302289,58588.9471001426
"01009",2674428.01554086,934402.402753206
"01011",74296.351836243,10346.7651880809
"01013",85555.404076532,33233.8542163058
"01015",803348.789979197,264933.827938875
"01017",532025.927804347,109666.44117477
"01019",72392.7700465017,22894.179712551
"01021",672995.982634576,225846.994365193
"01023",12580.2935380325,2937.12299089443
"01025",96362.7184535622,20912.4554558414
"01027",85436.4709916077,28533.7443196028
"01029",64392.3930670722,21093.5228543154
"01031",195980.570878949,51701.2855940401
"01033",229926.827397103,69071.950038305
"01035",60239.8477952438,16008.0214346035
"01037",105427.00864376,33238.912456167
"01039",113871.542424864,38855.2539090456
"01041",31853.3018423668,14328.3544622679
"01043",1539135.76877736,509577.666833249
"01045",262987.480685082,56722.8357744412
"01047",284750.864877462,81042.5513945804
"01049",175618.939899143,51369.2420181505
"01051",684370.551247718,198634.444304862
"01053",128810.56613501,38617.6781891546
"01055",1025382.36576191,345900.192231401
"01057",214228.981699803,61816.5323373958
"01059",141088.184027685,41204.0841727444
"01061",49406.3601472696,14970.5993414875
"01063",72813.5329204349,15319.1765996456
"01065",176535.707000818,39397.0533029981
"01067",50300.9548471687,18338.0160871367
"01069",323704.285671038,97175.5669995267
"01071",144488.772660088,32690.9739652076
"01073",75555723.7526327,26660863.074838
"01075",64607.4937312813,14862.8840444528
"01077",325463.317176399,89768.6607494006
"01079",155612.006617857,36813.8045567544
"01081",3840054.74791856,452619.425614663
"01083",634044.347856676,104654.197904751
"01085",30780.6303825711,4201.65459799677
"01087",1590261.00946015,59588.3649927117
"01089",3168694.83579518,464003.908810978
"01091",148850.05485355,45764.2468821748
"01093",191477.405293039,59378.6745396637
"01095",672935.710328683,187682.583413953
"01097",3779954.84363271,227536.426883249
"01099",50039.120169559,11964.128388303
"01101",1739107.2451518,761088.219054321
"01103",764744.085273531,177536.741100152
"01105",108320.964755129,31771.417148469
"01107",212139.666912986,47143.9764524707
"01109",164982.699643876,46017.1795879696
"01111",127830.785439398,34131.9578846578
"01113",298495.750391869,68437.934425913
"01115",4980971.76062384,1744009.61978112
"01117",15774903.1342604,5538219.04072332
"01119",72812.2722543578,20822.9722051826
"01121",1514062.01051703,517077.216935877
"01123",666919.545592307,153195.191304033
"01125",4964948.12705758,850166.452463783
"01127",2343755.86953966,817614.314372864
"01129",79056.1498653506,23134.0611249936
"01131",23069.2335064858,7748.14744306763
"01133",283093.414338695,87727.3340603919
"02013",555.392344897272,0
"02016",337.146871645282,3.46528185072982
"02020",733434.020308119,2773341.94018628
"02050",268.302696136503,39.8507412833929
"02060",10.7914293583035,1.73264092536491
"02063",10792.0695193967,2646.20186820625
"02066",129.497152299642,20.7916911043789
"02068",4912.88020300402,1273.72066773022
"02070",233.695533555826,24.2569729551087
"02090",2411106.75824124,623818.513501454
"02100",279.055025507548,0
"02105",597.975054659032,0
"02110",15148.3873421589,1119.45114162526
"02122",66397.822289827,12715.962918893
"02130",2111.48634006967,0
"02150",1839.8217319282,41.5833822087578
"02158",267.913026184222,31.1875366565683
"02164",303.049310022966,29.4548957312034
"02170",120947.267504492,26035.2759962865
"02180",297.795993344158,0
"02185",4238.57541616029,907.177018830395
"02188",93.7671186302818,0
"02195",995.266238039474,0
"02198",2631.69399945906,1.73264092536491
"02220",118113.988457539,0
"02230",199.325018219677,0
"02240",22016.2337639725,5717.0155569204
"02275",720.870779380117,6.93056370145963
"02282",362.085746584698,6.93056370145963
"02290",22297.7002152789,5743.00517080088
"04001",107985.750485983,2468.54975768463
"04003",859377.758956634,19576.5321039719
"04005",3747710.48562271,6695.61143833229
"04007",250205.879518935,7505.5026768402
"04009",285045.499869811,6266.56258838618
"04011",41359.7349688815,719.121245026949
"04012",25828.3993611456,705.393885308746
"04013",57885742.540013,2416111.51573201
"04015",348110.869639307,5001.77681648789
"04017",252014.402507255,3461.14057710959
"04019",63028383.406105,1567365.54612814
"04021",3206335.86436512,63342.0551988573
"04023",429511.034827815,10910.0685987019
"04025",786093.928118196,15421.238258561
"04027",698617.23016633,12938.7478398125
"05001",55554.8114777534,11271.9987939925
"05003",30870.5273853743,7695.71267462844
"05005",102705.924650361,24193.134381567
"05007",795958.804951017,126398.212614295
"05009",94206.2203845971,15146.221428192
"05011",28919.9538239625,6641.44449076814
"05013",13475.8365179516,3840.56355578016
"05015",45369.4485323534,11915.0184841289
"05017",23214.7442673462,6067.24675138037
