"GEOID","IDC_loss","IDC_econ_loss","IDC_job_loss","grant_funds","grant_funds_econ","overlap_loss","overlap_econ_loss","overlap_job_loss","overlap_loss_noself","overlap_econ_loss_noself","overlap_job_loss_noself","terminated_econ_loss"
"0102",2859379.8,7320012.288,31.5602585200382,14987461,38367900.16,0,0,0,0,0,0,863848.6272
"0103",1697045.35,4344436.096,18.7310513861183,9492887,24301790.72,0,0,0,0,0,0,2665684.5312
"0104",31577.5,80838.4,0.348535043654049,866355,2217868.8,0,0,0,0,0,0,NA
"0105",999496.45,2558710.912,11.0318910247112,4658448,11925626.88,0,0,0,0,0,0,NA
"0106",259112.15,663327.104,2.85993712331707,2009174,5143485.44,0,0,0,0,0,0,NA
"0107",47301163.8,121090979.328,522.084179872388,351850131,900736335.36,0,0,0,0,0,0,47723049.2672
"0200",1263968.5,3235759.36,13.9509877705595,14971961,38328220.16,0,0,0,0,0,0,2634855.2192
"0401",5510283.7,14106326.272,60.8194749402485,32615161,83494812.16,0,0,0,0,0,0,2168822.4768
"0402",1860427.35,4762694.016,20.5343718675461,14795093,37875438.08,0,0,0,0,0,0,NA
"0403",5682349.8,14546815.488,62.7186457319477,42379545,108491635.2,0,0,0,0,0,0,9948688.0512
"0404",10892076.45,27883715.712,120.220737581632,67340838,172392545.28,0,0,0,0,0,0,2854782.6176
"0405",7047.55,18041.728,0.077786973221569,141187,361438.72,0,0,0,0,0,0,NA
"0406",494993.9,1267184.384,5.46346989296139,7445597,19060728.32,0,0,0,0,0,0,NA
"0407",26794746.55,68594551.168,295.745646694749,176854929,452748618.24,0,0,0,0,0,0,19741241.3427327
"0408",133999.8,343039.488,1.47901594941442,1092258,2796180.48,0,0,0,0,0,0,NA
"0501",93166,238504.96,1.02831496720998,2277783,5831124.48,0,0,0,0,0,0,NA
"0502",27152765.75,69511080.32,299.697265331468,164734918,421721390.08,0,0,0,0,0,0,7314117.02716017
"0503",2277856.35,5831312.256,25.1417231378324,16386999,41950717.44,0,0,0,0,0,0,766914.2016
"0504",0,0,0,155244,397424.64,0,0,0,0,0,0,NA
"0602",7780373.3,19917755.648,85.8754729715874,25089403,64228871.68,0,0,0,0,0,0,NA
"0604",52598799.2,134652925.952,580.556560060885,283691651,726250626.56,0,0,0,0,0,0,32947597.6192
"0605",0,0,0,1162260,2975385.6,0,0,0,0,0,0,NA
"0606",23613.1,60449.536,0.260628385379065,193130,494412.8,0,0,0,0,0,0,NA
"0607",343658.3,879765.248,3.7931109363495,2682668,6867630.08,0,0,0,0,0,0,122142.4896
"0608",643042.6,1646189.056,7.09754985867828,7070940,18101606.4,0,0,0,0,0,0,NA
"0609",105863.3,271010.048,1.1684607675358,1584969,4057520.64,0,0,0,0,0,0,1088513.5872
"0610",0,0,0,1122795,2874355.2,0,0,0,0,0,0,NA
"0611",167746504,429431050.24,1851.49347144182,1026600819,2628098096.64,0,0,0,0,0,0,87226447.6529778
"0612",78329361.8,200523166.208,864.556330753126,501301484,1283331799.04,0,0,0,0,0,0,15082878.1312
"0613",1350074.85,3456191.616,14.9013822114159,6874354,17598346.24,0,0,0,0,0,0,1387405.3376
"0614",1120591.4,2868713.984,12.3684703512739,5540572,14183864.32,0,0,0,0,0,0,NA
"0615",1302252.35,3333766.016,14.3735438098595,47643209,121966615.04,0,0,0,0,0,0,NA
"0616",123780943.9,316879216.384,1366.22584706598,682108589,1746197987.84,0,0,0,0,0,0,24647652.8335059
"0617",1308340.35,3349351.296,14.4407397989583,13327653,34118791.68,0,0,0,0,0,0,NA
"0618",395096,1011445.76,4.36085192328526,2925290,7488742.4,0,0,0,0,0,0,175228.5696
"0619",7434658.9,19032726.784,82.0596679364886,49687359,127199639.04,0,0,0,0,0,0,19432834.56
"0620",127426,326210.56,1.40645796762444,1764401,4516866.56,0,0,0,0,0,0,416941.5936
"0623",1844255.8,4721294.848,20.3558792102679,8567838,21933665.28,0,0,0,0,0,0,627471.36
"0624",4349311.95,11134238.592,48.0053085379884,31699149,81149821.44,0,0,0,0,0,0,2056311.8336
"0626",266005.3,680973.568,2.93601991442351,2892011,7403548.16,0,0,0,0,0,0,NA
"0627",0,0,0,306872,785592.32,0,0,0,0,0,0,NA
"0628",15295533.4,39156565.504,168.82366879205,79379596,203211765.76,0,0,0,0,0,0,2258497.5616
"0629",56575,144832,0.624443673334743,316820,811059.2,0,0,0,0,0,0,NA
"0630",29166813.75,74667043.2,321.927217278308,147704930,378124620.8,0,0,0,0,0,0,32628164.037767
"0631",20743562.15,53103519.104,228.956007900902,85173561,218044316.16,0,0,0,0,0,0,5628406.78203077
"0632",1013528.15,2594632.064,11.186765196892,9901746,25348469.76,0,0,0,0,0,0,1631664.4096
"0633",157751.3,403843.328,1.74117191772569,1408272,3605176.32,0,0,0,0,0,0,1832946.816
"0634",672341.85,1721195.136,7.42093883430273,7907157,20242321.92,0,0,0,0,0,0,1512496.5888
"0635",340533.85,871766.656,3.75862497903354,2715256,6951055.36,0,0,0,0,0,0,NA
"0636",153945144.05,394099568.768,1699.16166579988,1097849733,2810495316.48,0,0,0,0,0,0,47977615.9382878
"0637",64814236.15,165924444.544,715.383821580053,366798631,939004495.36,0,0,0,0,0,0,11393574.6599385
"0638",64198.25,164347.52,0.708584905906534,576138,1474913.28,0,0,0,0,0,0,NA
"0639",7700657.6,19713683.456,84.9956150037491,41713639,106786915.84,0,0,0,0,0,0,1992620.8768
"0640",699402.1,1790469.376,7.71961496176815,9403864,24073891.84,0,0,0,0,0,0,NA
"0641",0,0,0,503386,1288668.16,0,0,0,0,0,0,NA
