"FIPS","IDC_loss","IDC_econ_loss","IDC_job_loss","grant_funds","grant_funds_econ","overlap_loss","overlap_econ_loss","overlap_job_loss","overlap_loss_noself","overlap_econ_loss_noself","overlap_job_loss_noself","terminated_econ_loss"
"01073",45997353,110853601.970097,432.56561676,342052125,824207145.624945,758555.8,1826876.82676834,7.13042452,0,0,0,39510454.0815067
"01081",1697045.35,4087099.22709703,15.95222629,9492887,22862306.60873,0,0,0,0,0,0,478217.15947147
"01087",1277915.15,3077682.05596897,12.01240241,6699741,16135400.4257165,0,0,0,0,0,0,NA
"01089",999496.45,2407149.08902182,9.39526663,4658448,11219228.3018669,0,0,0,0,0,0,NA
"01097",1563310.65,3765017.68165922,14.69512011,7748166,18660387.1664475,0,0,0,0,0,0,NA
"01101",18154,43721.4004733105,0.1706476,539554,1299441.25322114,0,0,0,0,0,0,635129.157104917
"01117",155620.15,374789.627622929,1.46282941,1217315,2931734.96844596,0,0,0,0,0,0,NA
"01125",1384277.8,3333841.80126216,13.01221132,10522178,25341211.7544044,0,0,0,0,0,0,93525.8653142256
"02020",61224.5,257722.050675676,0.49591845,7729836,32538431.2702703,0,0,0,0,0,0,41379.1127702703
"02050",0,0,0,374748,1577486.51351351,0,0,0,0,0,0,NA
"02090",1142915.35,4811055.83141892,9.257614335,6269752,26392266.8648649,0,0,0,0,0,0,1250471.54040541
"02220",59828.65,251846.276689189,0.484612065,597625,2515678.20945946,0,0,0,0,0,0,NA
"04001",0,0,0,1501977,4493730.06638655,0,0,0,0,0,0,NA
"04005",1860427.35,5566169.33483193,19.162401705,12520314,37459236.3680672,0,0,0,0,0,0,NA
"04013",22223715,66490616.2226891,228.9042645,142851488,427394045.75014,20422.75,61102.3509103641,0.210354325,0,0,0,2433178.26384594
"04017",0,0,0,772802,2312128.33669468,0,0,0,0,0,0,NA
"04019",27289740.45,81667343.1850227,281.180561415,183550526,549944493.387823,58879.7,176160.805518207,0.60646091,0,0,0,2030055.69257703
"04023",0,0,0,375000,1121953.7815126,0,0,0,0,0,0,NA
"04027",0,0,0,375000,1121953.7815126,0,0,0,0,0,0,0
"05019",0,0,0,155244,418260.694214876,0,0,0,0,0,0,NA
"05031",93166,251009.223140496,0.8664438,2277783,6136836.8429752,0,0,0,0,0,0,NA
"05119",14837984.65,39976718.9743802,137.993257245,92314781,248715856.247934,195838.75,527631.673553719,1.821300375,0,0,0,10397322.1676033
"05143",2137062.3,5757705.03966942,19.87467939,15527900,41835499.1735537,0,0,0,0,0,0,626769.270413223
"06001",51555359.8,138162362.575441,469.10133307,350954972,940620597.349594,234235.05,628106.986593155,2.131538955,0,0,0,2985090.61416164
"06013",578204.6,1550469.70528237,5.26166186,7886017,21014501.8086948,0,0,0,0,0,0,NA
"06017",0,0,0,1162260,3116628.47314166,0,0,0,0,0,0,NA
