"GEOID","IDC_econ_loss","static_IDC_loss","terminated_econ_loss","static_term_loss","pol_party","state"
"0102",6282778.4541899,6886421.1381015,1157987.81636568,635129.157104917,"Democrat","Alabama"
"0103",12883389.575397,4087099.22709703,3459089.75634727,478217.15947147,"Republican","Alabama"
"0104",10560106.4282006,76050.0453589272,3080430.37086122,0,"Republican","Alabama"
"0105",4716681.27266079,2407149.08902182,790624.693145004,0,"Republican","Alabama"
"0106",44518233.1348877,699369.010552249,15544080.9175637,0,"Republican","Alabama"
"0107",47234032.2249062,113786814.343071,16154533.8881453,39603979.9468209,"Democrat","Alabama"
"0200",5522728.58257994,5320624.15878378,3692089.52677264,1291850.65317568,"Republican","Alaska"
"0401",18105265.7739183,16486089.6917927,1402362.72121906,2433178.26384594,"Republican","Arizona"
"0402",7579698.84993265,5566169.33483193,65707.239324445,0,"Republican","Arizona"
"0403",10548371.14725,16994779.9460784,139133.702464208,0,"Democrat","Arizona"
"0404",15127417.1723929,32587750.297605,270175.232178366,0,"Democrat","Arizona"
"0405",10357301.9426262,21085.4009943978,410613.204691865,0,"Republican","Arizona"
"0406",45980443.2491439,1500763.94117115,1136319.4920451,0,"Republican","Arizona"
"0407",32048965.8256372,80166579.2438515,783422.858819068,2030055.69257703,"Democrat","Arizona"
"0408",9524890.13528146,400910.886218487,476893.826894057,0,"Republican","Arizona"
"0501",6818266.74093805,251009.223140496,972084.764789634,0,"Republican","Arkansas"
"0502",31233537.2940269,39976718.9743802,8074235.38073902,10397322.1676033,"Republican","Arkansas"
"0503",6281682.36006714,5757705.03966942,826344.045583986,626769.270413223,"Republican","Arkansas"
"0504",4950664.21633357,0,1464598.02412853,0,"Republican","Arkansas"
"0602",42302918.1309471,20863260.3362855,875515.546774452,0,"Democrat","California"
"0604",70904439.8480964,141044960.025967,272329.203147212,0,"Democrat","California"
"0605",12073892.4984686,0,252654.101706013,0,"Republican","California"
"0606",23435297.2613646,63319.1022655355,362000.737792841,0,"Democrat","California"
"0607",27275337.0925963,921528.094240065,218671.518294863,0,"Democrat","California"
"0608",65971703.7828796,1724334.38008969,2069388.24200203,0,"Democrat","California"
"0609",15324327.2819385,283875.015091922,1002818.02242797,972827.34412145,"Democrat","California"
"0610",44567754.6911459,0,2383867.84036782,0,"Democrat","California"
"0611",173384207.982811,417468292.703555,2311080.66995857,2584964.62764691,"Democrat","California"
"0612",110696044.62316,133944748.612024,1968018.45148922,2985090.61416164,"Democrat","California"
"0613",10136360.9521506,3620258.56381744,288126.286196963,0,"Democrat","California"
"0614",55985501.9038738,3004893.10825261,2396311.01294401,0,"Democrat","California"
"0615",167442653.651919,3457406.95025103,4594727.65828599,0,"Democrat","California"
"0616",100566080.206668,328494673.433803,4709155.1315937,18999492.5022032,"Democrat","California"
"0617",62302722.109265,2295019.07050533,3031721.80362565,0,"Democrat","California"
