"FIPS","IDC_econ_loss","IDC_loss","IDC_job_loss","static_IDC_loss","terminated_econ_loss","static_term_loss","county","state","urban"
"01073",71223216.9191879,29513954.5908722,277.919981353844,110853601.970097,25098080.3849318,39510454.0815067,"Jefferson County","Alabama",TRUE
"01081",3634522.79431241,1500021.38590569,14.1153016404711,4087099.22709703,430292.989835211,478217.15947147,"Lee County","Alabama",TRUE
"01087",1497593.58462978,621195.706820373,5.84710840100666,3077682.05596897,56217.2964588413,0,"Macon County","Alabama",TRUE
"01089",3031546.37036423,1237771.42023249,11.830231292642,2407149.08902182,441340.690827704,0,"Madison County","Alabama",TRUE
"01097",3583775.70509424,1476544.86079403,13.9507352674701,3765017.68165922,217701.388118539,0,"Mobile County","Alabama",TRUE
"01101",1659484.92104851,679338.767637423,6.48270394800706,43721.4004733105,717525.339033063,635129.157104917,"Montgomery County","Alabama",TRUE
"01117",14863704.3427953,6162071.53682045,57.9942547395036,374789.627622929,5210779.35999098,0,"Shelby County","Alabama",TRUE
"01125",4685899.1171895,1939432.86213187,18.2830303618685,3333841.80126216,801832.249976033,93525.8653142259,"Tuscaloosa County","Alabama",TRUE
"02020",935775.460998691,286497.664182859,2.38622607466353,257722.050675676,2574690.72420946,41379.1127702701,"Anchorage Municipality","Alaska",TRUE
"02050",427.368733514526,104.805740678321,0.000850496798001866,0,65.5273749460351,0,"Bethel Census Area","Alaska",FALSE
"02090",3957436.39595621,941838.577437984,7.64199796801763,4811055.83141892,1025329.49548174,1250471.54040541,"Fairbanks North Star Borough","Alaska",TRUE
"02220",193618.89745898,46138.2767412264,0.373788089474303,251846.276689189,0,0,"Sitka City and Borough","Alaska",FALSE
"04001",123623.002183024,42181.9337835869,0.433932542881088,0,2904.65090124303,0,"Apache County","Arizona",FALSE
"04005",4377176.10024119,1463949.40844637,15.0729931924787,5566169.33483193,7845.6498073903,0,"Coconino County","Arizona",TRUE
"04013",67476468.275381,22611618.1796926,232.417504428917,66490616.2226891,2765784.88223014,2433178.26384594,"Maricopa County","Arizona",TRUE
"04017",291868.694982894,98443.1259793963,1.01302085868388,0,3954.98025055241,0,"Navajo County","Arizona",FALSE
"04019",73622752.4218776,24620462.2680097,253.519826305499,81667343.1850227,1828739.65921998,2030055.69257703,"Pima County","Arizona",TRUE
"04023",500327.457344028,167777.747979615,1.72458925279629,0,12771.183296467,0,"Santa Cruz County","Arizona",FALSE
"04027",811946.414137416,272897.355533722,2.81298204712996,0,14742.6208666168,0,"Yuma County","Arizona",TRUE
"05019",101749.800938421,37557.268566508,0.355077551402932,0,23962.36580411,0,"Clark County","Arkansas",FALSE
"05031",386281.017546793,142080.480448021,1.35655683163343,251009.223140496,60472.4747172256,0,"Craighead County","Arkansas",TRUE
"05119",24844668.2969037,9219766.65623374,85.8440517371352,39976718.9743802,6502835.33597708,10397322.1676033,"Pulaski County","Arkansas",TRUE
"05143",5023665.84813053,1864580.90403698,17.3546353572454,5757705.03966942,593556.054764479,626769.270413223,"Washington County","Arkansas",TRUE
"06001",174060205.357989,64925827.3694511,591.091492022189,138162362.575441,4585217.85079837,2985090.61416164,"Alameda County","California",TRUE
"06013",88829298.4837799,33110902.9706496,301.542168412254,1550469.70528237,4091926.86786678,0,"Contra Costa County","California",TRUE
"06017",3269260.17559844,1216594.28706647,11.0830880882749,0,24692.1341638714,0,"El Dorado County","California",TRUE
"06019",7520112.94493358,2799285.26345446,25.5258533378101,341695.919861777,161136.144076205,0,"Fresno County","California",TRUE
"06023",247878.216324174,91070.9070665827,0.828485392425275,87149.5408747646,5149.406089225,0,"Humboldt County","California",FALSE
"06029",3176244.43369208,1183516.15801795,10.7732510514912,0,176001.364122293,0,"Kern County","California",TRUE
"06037",537883070.902833,200635978.225513,1825.75889558565,582632367.834601,38351876.0778631,42971129.0888828,"Los Angeles County","California",TRUE
"06041",31654454.0400248,11799867.307122,107.422152477805,20776110.7954107,593163.476378673,0,"Marin County","California",TRUE
"06047",4272915.78989277,1592040.3861496,14.5172635021469,3620258.56381744,62051.2591577785,0,"Merced County","California",TRUE
"06053",9981479.78923169,3723855.15419875,33.8938534598228,0,439261.351379022,0,"Monterey County","California",TRUE
"06055",3917610.18913666,1460629.67039055,13.2976054848394,422171.414820135,37000.2206279141,0,"Napa County","California",TRUE
"06059",113371871.246287,42286875.8386876,384.975195049174,120984545.020293,4437494.39308236,247.477880841007,"Orange County","California",TRUE
"06065",43183844.2847824,16122057.1544912,146.751177966072,20691214.5394343,1591229.56077799,0,"Riverside County","California",TRUE
"06067",49179774.8042644,18326173.3056144,166.792327881041,984847.196505601,618822.029409618,0,"Sacramento County","California",TRUE
"06071",42566525.9436693,15873977.734676,144.504406368295,5368430.75670828,3759861.92462254,0,"San Bernardino County","California",TRUE
"06073",544440785.840528,203020873.10418,1847.78118729191,566908083.430273,9339211.00558296,9317032.2145499,"San Diego County","California",TRUE
"06075",204763638.152712,76334180.7136905,694.977490330855,417468292.703555,2629021.12944026,2584964.62764691,"San Francisco County","California",TRUE
"06077",15721931.3556816,5858921.3789417,53.3337455080144,283875.015091922,1059415.05595712,972827.34412145,"San Joaquin County","California",TRUE
"06079",2164296.83353457,807393.568751923,7.34787737578831,186966.870858652,87867.0049326948,0,"San Luis Obispo County","California",TRUE
"06081",162766915.769994,60667166.0987361,552.585779612241,17722635.6130531,5171483.90594898,545942.774869834,"San Mateo County","California",TRUE
"06083",9389190.13769729,3505281.84649684,31.8584000769966,11475818.9618683,53279.6949490739,0,"Santa Barbara County","California",TRUE
"06085",157749859.122274,58840667.8066322,535.753968468439,316371202.524848,7814233.42039292,18453549.7273333,"Santa Clara County","California",TRUE
"06087",23587207.4168498,8798866.08496501,80.0694340501742,19936218.759861,431895.003688724,0,"Santa Cruz County","California",TRUE
"06095",32686768.9146179,12188063.725833,110.935395674763,173864.674807323,408872.74730919,0,"Solano County","California",TRUE
"06097",17758720.4589955,6619513.23437626,60.2438299849565,88222.1506086079,384708.379325986,0,"Sonoma County","California",TRUE
"06111",15892503.3832997,5922003.50255964,53.9707215387216,579045.817367164,859844.502134268,0,"Ventura County","California",TRUE
"06113",51569486.6083032,19229745.8393354,175.014355183978,140534566.460539,45410.6714377582,0,"Yolo County","California",TRUE
"08001",20884800.2510331,7439482.58779237,74.3962678987827,160482656.332481,41710.9533278186,0,"Adams County","Colorado",TRUE
"08005",47662142.5257188,16990929.7300524,169.813649035513,0,1316693.9184317,0,"Arapahoe County","Colorado",TRUE
"08013",22628522.512821,8050633.25820931,80.5414561124341,34700556.4494395,47569.7374314633,0,"Boulder County","Colorado",TRUE
"08014",4030647.44969267,1436377.32889226,14.3571216091293,573712.971947777,18387.6417765343,0,"Broomfield County","Colorado",TRUE
"08031",61066641.3799023,21756049.7651828,217.573865405834,21878459.3791461,620991.253110468,646932.122459421,"Denver County","Colorado",TRUE
"08035",13017703.8691357,4635083.66591888,46.3657673516386,78953.0943013409,63782.677636944,0,"Douglas County","Colorado",TRUE
"08037",633510.917997397,226046.516645882,2.24947613649934,624794.373588567,5736.98418700073,0,"Eagle County","Colorado",FALSE
"08041",10638218.3728903,3792968.2404332,37.9412547552231,195345.354710656,2679300.50562764,2987414.07551164,"El Paso County","Colorado",TRUE
"08049",43010.1680871828,15275.5507738644,0.152825784294575,0,1787.28362382868,0,"Grand County","Colorado",FALSE
"08059",22329083.5599843,7963675.17524823,79.6137923478544,2888392.85162315,346973.26234764,0,"Jefferson County","Colorado",TRUE
"08067",248898.428498822,88214.2857661608,0.879353893950558,84209.5977417078,1733.38054012508,0,"La Plata County","Colorado",FALSE
"08069",25613211.0409349,9135391.84881904,90.9830818959987,22379069.9920309,20549.1011511071,0,"Larimer County","Colorado",TRUE
"08123",10549924.5054818,3760320.36611263,37.5892380964664,366033.016407904,9280.12985827094,0,"Weld County","Colorado",TRUE
"09110",58952472.9646546,25966794.9839271,200.652965923664,48858402.014243,13700876.7763025,6472500.14792805,"Capitol Planning Region","Connecticut",TRUE
"09120",26597569.5705414,11678623.1384285,89.8380845124133,1485825.79068895,11107426.0497563,0,"Greater Bridgeport Planning Region","Connecticut",TRUE
"09130",16260491.0776137,7164678.5549847,55.2709355218503,802104.610397864,2223715.21008755,0,"Lower Connecticut River Valley Planning Region","Connecticut",TRUE
"09140",39551367.8608245,17377172.7019712,133.906111373291,296935.029236049,9972724.19840019,0,"Naugatuck Valley Planning Region","Connecticut",TRUE
"09150",4626723.95557499,2051357.06125913,15.9447794444812,0,2772121.95119292,0,"Northeastern Connecticut Planning Region","Connecticut",FALSE
"09170",198227182.912303,87344041.5007529,672.735374810274,327965870.583335,22489505.7946268,25616535.0576141,"South Central Connecticut Planning Region","Connecticut",TRUE
"09190",24221629.9870006,10577366.2454353,80.9296627172623,604961.191566035,12976499.0731958,0,"Western Connecticut Planning Region","Connecticut",TRUE
"10001",3771135.02398532,1583081.39144806,9.69803013419276,3133764.34387356,118491.3792915,0,"Kent County","Delaware",TRUE
"10003",26593876.8230794,11132100.0522922,73.7347490563261,24968835.1690476,4103900.64511372,0,"New Castle County","Delaware",TRUE
"10005",1262496.81216191,545055.93670583,3.75952326562987,56410.5766666667,44469.7482429726,0,"Sussex County","Delaware",FALSE
"11001",7813347.91419626,11733713.0289973,30.0077451609868,626232.545260844,1209738.79210537,0,"District of Columbia","District of Columbia",TRUE
"12001",113719332.471825,35131238.5310635,403.79507070868,162181857.755767,12824672.0971965,18244467.238416,"Alachua County","Florida",TRUE
"12009",1856550.40863483,585502.903479503,6.67092951485222,550568.061486253,213865.853124179,0,"Brevard County","Florida",TRUE
"12011",19622809.2658044,6136484.82741753,69.8227627029187,2666774.27044912,1791744.1193007,0,"Broward County","Florida",TRUE
"12031",22140230.9412771,6884264.96192419,78.8131972902843,26539978.2858622,3362096.48732555,4279216.88016795,"Duval County","Florida",TRUE
"12033",913694.160673312,302596.551999351,3.30267465257769,764596.263085241,54782.8992044859,0,"Escambia County","Florida",TRUE
"12057",61214021.4579639,18928275.6337328,217.509522340689,88319591.4809617,6318661.82891533,9026263.91876797,"Hillsborough County","Florida",TRUE
"12071",1935390.31416033,627499.47816855,6.96077398570949,605290.233492465,144724.529131512,0,"Lee County","Florida",TRUE
"12073",26120820.6654683,8076034.47154072,92.8644062785602,31986965.6202979,4637279.26672961,5697596.27524445,"Leon County","Florida",TRUE
"12081",2774767.19470178,865698.9881017,9.9014881569927,1668528.5216266,208422.302000533,0,"Manatee County","Florida",TRUE
"12085",1257738.39455176,391857.771104471,4.49224427764978,0,37408.8439166708,0,"Martin County","Florida",TRUE
"12086",96498975.4766546,29838352.6556589,342.83378137607,113531256.193414,10580322.0681086,12475460.0954791,"Miami-Dade County","Florida",TRUE
"12095",8447295.71208663,2670214.06391459,30.1662457445107,10591362.6689865,1352519.05945038,2081848.97417462,"Orange County","Florida",TRUE
"12099",11258960.0482664,3508214.00884741,40.1137467154689,11643725.6713735,469209.255977545,0,"Palm Beach County","Florida",TRUE
"12105",2302767.31356288,718043.572221014,8.19333712074981,0,1133025.61069838,0,"Polk County","Florida",TRUE
"12117",3798442.64769365,1183430.3877437,13.5234560363133,0,674516.098398548,0,"Seminole County","Florida",TRUE
"13021",1263459.35616794,436336.355003808,5.12957171631052,486665.982168859,219974.786633201,0,"Bibb County","Georgia",TRUE
"13031",289187.331549279,99723.3883437074,1.17321780014513,191259.448716311,30872.1685183062,0,"Bulloch County","Georgia",FALSE
"13059",10562691.8100817,3637974.8141963,42.9104462289495,32167193.0813131,2465364.97266143,7715093.10197471,"Clarke County","Georgia",TRUE
"13067",23832432.8939358,8221653.84747263,96.6574683052201,1035471.17445395,4744765.27361005,958881.869970622,"Cobb County","Georgia",TRUE
"13073",11349062.5121989,3911333.69614333,46.0786670938599,166256.237680419,2615055.15891084,0,"Columbia County","Georgia",TRUE
"13089",101358294.551216,34913212.0358068,411.660846654263,240175808.674211,12891476.1253211,20651988.2699502,"DeKalb County","Georgia",TRUE
"13095",265529.576748979,91413.7628166549,1.05999029367686,48254.1034614893,49454.0145225602,0,"Dougherty County","Georgia",TRUE
"13121",66601164.659875,22964419.950409,270.302909256748,52719585.4160685,12356816.8727296,22722692.0781709,"Fulton County","Georgia",TRUE
"13245",18765000.4320041,6464425.9092099,76.2065777369229,45295119.7862307,4356177.92447246,10618244.6072806,"Richmond County","Georgia",TRUE
"15001",1002864.5753011,360656.340279701,3.34967137954261,219958.799554896,764.890374297705,0,"Hawaii County","Hawaii",FALSE
"15003",30886111.318563,11117801.5101058,103.311354199249,32562898.6228487,54482.4325364054,0,"Honolulu County","Hawaii",TRUE
"16001",5030221.84011944,1150482.90441034,10.6493476363945,4924463.79702128,13798.9563915882,0,"Ada County","Idaho",TRUE
"16005",784815.316126079,192868.67979093,1.95778774634112,818313.304255319,4278.54010426993,0,"Bannock County","Idaho",TRUE
"16027",681500.418135211,164589.116855034,1.58527423239656,0,3273.72256845176,0,"Canyon County","Idaho",TRUE
"16057",6511213.48607163,1689850.68433506,15.0766272289049,8149648.53404255,2251.25045679148,0,"Latah County","Idaho",FALSE
"16069",829228.666671476,222996.847666679,1.99560566167144,119255.319148936,814.433915761526,0,"Nez Perce County","Idaho",TRUE
"17019",31234102.8849107,10972313.6019723,110.775585444626,44972731.0453776,6619439.34836393,96218.1519595389,"Champaign County","Illinois",TRUE
"17029",913539.072119956,321030.920917508,3.24244396557393,29078.8910844507,12373.3361232029,0,"Coles County","Illinois",FALSE
"17031",488720294.747567,171973036.144501,1735.15475827149,583552481.450608,2659390563.83144,3281193801.99762,"Cook County","Illinois",TRUE
"17037",743860.464691151,268719.08012268,2.6710797055641,350167.26031522,2934160.05099453,0,"DeKalb County","Illinois",TRUE
"17043",28313155.1561118,10034680.1592433,100.596587943293,1192305.58295334,127663798.072612,0,"DuPage County","Illinois",TRUE
"17077",130593.069765696,47238.2412254625,0.471519540931603,178557.946788991,5617.41297020587,0,"Jackson County","Illinois",FALSE
"17097",21371752.012501,7597426.99406279,76.1516158045614,6343899.40550459,135160770.939043,0,"Lake County","Illinois",TRUE
"17113",1749357.08629321,618547.850296783,6.23186975603042,865744.599600094,2945823.61070339,0,"McLean County","Illinois",TRUE
"17115",809416.029173817,287303.293448497,2.87306571931704,104720.886920725,1814569.22073988,0,"Macon County","Illinois",TRUE
"17119",7095318.71343061,2971765.59843966,26.675822270003,180897.984474241,2962497.12422701,309578.613225123,"Madison County","Illinois",TRUE
"17137",682380.368152141,273069.174024191,2.52398134867708,374439.633686191,68256.6728934909,0,"Morgan County","Illinois",FALSE
"17167",1799375.73463498,634748.091787996,6.3969210303722,1125110.7371442,1828781.37038301,0,"Sangamon County","Illinois",TRUE
"17197",14505103.9518491,5119520.87225874,51.4920025661956,0,38175683.7196701,0,"Will County","Illinois",TRUE
"18011",3513509.55428326,1305359.65852251,12.7990829345342,268956.679156449,228974.104079233,0,"Boone County","Indiana",TRUE
"18035",1550431.74694688,576747.118340468,5.65485471820866,584714.236390387,74789.8456665054,0,"Delaware County","Indiana",TRUE
"18085",521408.789638189,193816.963681377,1.89960322171372,495932.98440412,13574.4638178368,0,"Kosciusko County","Indiana",FALSE
"18089",12089369.1524286,4307694.05574626,43.1512389377733,81156.861598823,16247973.2742251,0,"Lake County","Indiana",TRUE
