"FIPS","static_term_loss","terminated_econ_loss"
"01073",39510454.0815067,25098080.3849318
"01081",478217.15947147,430292.989835211
"01087",0,56217.2964588413
"01089",0,441340.690827704
"01097",0,217701.388118539
"01101",635129.157104917,717525.339033063
"01117",0,5210779.35999098
"01125",93525.8653142259,801832.249976033
"02020",41379.1127702701,2574690.72420946
"02050",0,65.5273749460351
"02090",1250471.54040541,1025329.49548174
"02220",0,0
"04001",0,2904.65090124303
"04005",0,7845.6498073903
"04013",2433178.26384594,2765784.88223014
"04017",0,3954.98025055241
"04019",2030055.69257703,1828739.65921998
"04023",0,12771.183296467
"04027",0,14742.6208666168
"05019",0,23962.36580411
"05031",0,60472.4747172256
"05119",10397322.1676033,6502835.33597708
"05143",626769.270413223,593556.054764479
"06001",2985090.61416164,4585217.85079837
"06013",0,4091926.86786678
"06017",0,24692.1341638714
"06019",0,161136.144076205
"06023",0,5149.406089225
"06029",0,176001.364122293
"06037",42971129.0888828,38351876.0778631
"06041",0,593163.476378673
"06047",0,62051.2591577785
"06053",0,439261.351379022
"06055",0,37000.2206279141
"06059",247.477880841007,4437494.39308236
"06065",0,1591229.56077799
"06067",0,618822.029409618
"06071",0,3759861.92462254
"06073",9317032.2145499,9339211.00558296
"06075",2584964.62764691,2629021.12944026
"06077",972827.34412145,1059415.05595712
"06079",0,87867.0049326948
"06081",545942.774869834,5171483.90594898
"06083",0,53279.6949490739
"06085",18453549.7273333,7814233.42039292
"06087",0,431895.003688724
"06095",0,408872.74730919
"06097",0,384708.379325986
"06111",0,859844.502134268
"06113",0,45410.6714377582
"08001",0,41710.9533278186
"08005",0,1316693.9184317
"08013",0,47569.7374314633
"08014",0,18387.6417765343
"08031",646932.122459421,620991.253110468
"08035",0,63782.677636944
"08037",0,5736.98418700073
"08041",2987414.07551164,2679300.50562764
"08049",0,1787.28362382868
"08059",0,346973.26234764
"08067",0,1733.38054012508
"08069",0,20549.1011511071
"08123",0,9280.12985827094
"09110",6472500.14792805,13700876.7763025
"09120",0,11107426.0497563
"09130",0,2223715.21008755
"09140",0,9972724.19840019
"09150",0,2772121.95119292
"09170",25616535.0576141,22489505.7946268
"09190",0,12976499.0731958
"10001",0,118491.3792915
"10003",0,4103900.64511372
"10005",0,44469.7482429726
"11001",0,1209738.79210537
"12001",18244467.238416,12824672.0971965
"12009",0,213865.853124179
"12011",0,1791744.1193007
"12031",4279216.88016795,3362096.48732555
"12033",0,54782.8992044859
"12057",9026263.91876797,6318661.82891533
"12071",0,144724.529131512
"12073",5697596.27524445,4637279.26672961
"12081",0,208422.302000533
"12085",0,37408.8439166708
"12086",12475460.0954791,10580322.0681086
"12095",2081848.97417462,1352519.05945038
"12099",0,469209.255977545
"12105",0,1133025.61069838
"12117",0,674516.098398548
"13021",0,219974.786633201
"13031",0,30872.1685183062
"13059",7715093.10197471,2465364.97266143
"13067",958881.869970622,4744765.27361005
"13073",0,2615055.15891084
"13089",20651988.2699502,12891476.1253211
"13095",0,49454.0145225602
"13121",22722692.0781709,12356816.8727296
"13245",10618244.6072806,4356177.92447246
"15001",0,764.890374297705
"15003",0,54482.4325364054
"16001",0,13798.9563915882
"16005",0,4278.54010426993
"16027",0,3273.72256845176
"16057",0,2251.25045679148
"16069",0,814.433915761526
"17019",96218.1519595389,6619439.34836393
"17029",0,12373.3361232029
"17031",3281193801.99762,2659390563.83144
"17037",0,2934160.05099453
"17043",0,127663798.072612
"17077",0,5617.41297020587
"17097",0,135160770.939043
"17113",0,2945823.61070339
"17115",0,1814569.22073988
"17119",309578.613225123,2962497.12422701
"17137",0,68256.6728934909
"17167",0,1828781.37038301
"17197",0,38175683.7196701
"18011",0,228974.104079233
"18035",0,74789.8456665054
"18085",0,13574.4638178368
"18089",0,16247973.2742251
"18097",8753151.43446788,8000954.59321934
"18105",0,665468.694873781
"18127",0,1863440.31601103
"18141",414899.717194703,3126358.14256579
"18157",2131744.42805297,1793897.34107439
"18167",0,40488.1029306583
"19103",4731160.59245646,3129103.37647898
"19153",0,70678.9636293215
"19163",0,83252.7108866503
"19169",0,14629.8570110703
"20045",711913.0045629,1553972.95818755
"20051",0,1783.53383775799
"20091",1048962.90831557,822693.970017351
"20161",0,8579.99745676235
"20173",0,51993.9200756947
"20209",0,305139.99682742
"21037",0,245329.656928095
"21067",8786736.47628901,4950161.9051827
