"org_name","lat","lon","terminated_loss","terminated_num","terminated_loss_noself","terminated_num_noself"
"University of Texas Medical Branch Galveston",29.311028,-94.778007,44782018.15,5,44782018.15,5
"University of Texas MD Anderson Cancer Center",29.706319,-95.397195,831580.67,2,831580.67,2
"University of Texas Southwestern Medical Center",32.811963,-96.837534,8061829.19372057,12,8061829.19372057,11
"Clark Atlanta University",33.747725,-84.41301,397805.39,2,397805.39,1
"Charles R. Drew University of Medicine & Science",33.923952,-118.245687,5262381.53,3,5262381.53,2
"Wake Forest University Health Sciences",36.059402,-80.321981,4543806.32,8,4543806.32,8
"Virginia Polytechnic Institute and State University",37.233061,-80.421005,7542160.85,9,7542160.85,9
"WETA TV 26",38.84087,-77.086486,65168.7,1,65168.7,1
"Indiana University",39.172055,-86.523157,610.989999999998,1,610.989999999998,1
"The Research Institute at Nationwide Children's Hospital",39.95251,-82.979302,1173879.99,3,1173879.99,3
"NDRI-USA, Inc.",40.74287,-73.992333,257235.38,1,257235.38,1
"Weill Medical College of Cornell University",40.7607,-73.9603,32317924.15,31,32317924.15,31
"Fordham University",40.86209,-73.88639,1460325,1,1460325,1
"Pennsylvania State University",40.870717,-77.83415,2811143.02,5,2811143.02,4
"Butler Hospital",41.843586,-71.379656,103572.21,1,103572.21,1
"University of Massachusetts Medical School Worcester",42.2802,-71.758245,967036.41,1,0,0
"Henry Ford Health and Michigan State University Health Sciences",42.653979,-84.492032,741785.72,3,741785.72,3
"Van Andel Research Institute",42.969389,-85.666402,105648.66,1,105648.66,1
"University of Vermont and State Agricultural College",44.478282,-73.201079,139268.71,1,139268.71,1
"Florida International University",25.761055,-80.376195,792883.390000001,5,792883.390000001,5
"Nova Southeastern University",26.07761,-80.242565,47184.02,1,47184.02,1
"University of Central Florida",28.601027,-81.197266,2686678.1,5,2686678.1,5
"St. Mary's University",29.451933,-98.560605,57055.58,1,57055.58,1
"University of Texas San Antonio",29.513091,-98.577742,4487655.10065934,9,4487655.10065934,8
"University of Texas San Antonio",29.567119,-98.605723,2134477.49,7,2134477.49,7
"University of Florida",29.643443,-82.349637,4931249.32,17,4931249.32,13
"Baylor College of Medicine",29.70926,-95.400851,8003595.54140659,17,7996481.63140659,13
"University of Houston",29.718091,-95.336483,3684764.3,5,3684764.3,5
"Texas State University",29.888774,-97.937445,1281088.88,2,472742.53,1
"Tulane University of Louisiana",29.935429,-90.12279,2943544.11,4,2943544.11,4
"University of Texas at Austin",30.291188,-97.737568,2660863.82,5,2660863.82,5
"Louisiana State University A&M College Baton Rouge",30.408018,-91.188669,965124.34,5,965124.34,5
"Florida State University",30.441455,-84.297889,1036342.67,5,1036342.67,5
"University of Texas El Paso",31.770518,-106.504149,3369434.96,4,3369434.96,4
"University of Arizona",32.232844,-110.959467,1702293.49,2,878968.13,1
"University of Mississippi Medical Center",32.328724,-90.175537,1188995.38,4,1188995.38,4
"Auburn University at Auburn",32.602139,-85.508496,336737.29,1,336737.29,1
"University of North Texas Health Science Center",32.749542,-97.36903,10373954,3,10373954,3
"Medical University of South Carolina",32.786754,-79.947265,1672083.03637363,8,1672083.03637363,7
"Scripps Research Institute, the",32.903062,-117.243592,3284498.88,2,3284498.88,2
"University of Alabama at Birmingham",33.50591,-86.799772,17712020.11,20,17712020.11,20
"Texas Tech University",33.584696,-101.872767,195715.16,1,195715.16,1
"Spelman College",33.745247,-84.411462,5488977.23,2,5488977.23,2
"Morehouse School of Medicine",33.746607,-84.414781,5171460.82,4,5171460.82,3
"Georgia State University",33.753531,-84.384483,930643.24,5,930643.24,5
"Emory University",33.791247,-84.3249,8424507.36,25,8424507.36,23
"University of Georgia",33.931173,-83.378873,3628960.09,5,3628960.09,5
"University of South Carolina at Columbia",33.999623,-81.028249,7663798.95,9,7663798.95,8
"Rand Corporation",34.009659,-118.490943,3986919.46,3,3986919.46,3
"University of Southern California",34.017282,-118.281254,5085505.28,19,5085505.28,16
"Kennesaw State University",34.034315,-84.574275,696259.68,2,696259.68,2
"University of California Los Angeles",34.070199,-118.45102,518022470.35,488,518022470.35,478
"Children's Hospital of Los Angeles",34.098065,-118.29069,88992.7472527472,1,88992.7472527472,1
"University of Mississippi",34.36739,-89.528956,490664.06,3,490664.06,3
"University of North Carolina at Pembroke",34.694134,-79.198114,46186.43,1,46186.43,1
"University of Arkansas for Medical Sciences",34.749005,-92.320097,2281953.75771784,6,2281953.75771784,6
"University of Memphis",35.120123,-89.939705,9625.8,1,9625.8,1
"University of North Carolina Charlotte",35.301652,-80.731452,478759.26,1,478759.26,1
"University of Oklahoma Health Sciences Center",35.47459,-97.505034,430514.41054945,5,430514.41054945,5
